time,load,wind_power,solar_power,temp,wind_speed,irradiance,snowfall,visibility,precipitation,humidity,dhi,dni,ghi,season,day_of_week
2019-01-01 00:00:00,21851.416666666668,2812.083333333333,0.0,1.6833333333333336,2.8383333333333334,0.0,0.0,10000.0,0.0,55.809333333333335,0.0,0.0,0.0,winter,1
2019-01-01 01:00:00,21099.666666666668,2499.5,0.0,1.405,2.77,0.0,0.0,10000.0,0.0,55.159,0.0,0.0,0.0,winter,1
2019-01-01 02:00:00,20495.416666666668,2387.083333333333,0.0,1.1866666666666668,2.69,0.0,0.0,10000.0,0.0,54.532833333333336,0.0,0.0,0.0,winter,1
2019-01-01 03:00:00,20147.5,2369.333333333333,0.0,0.985,2.655,0.0,0.0,10000.0,0.0,54.31783333333334,0.0,0.0,0.0,winter,1
2019-01-01 04:00:00,20144.416666666668,2323.083333333333,0.0,0.8116666666666666,2.6283333333333334,0.0,0.0,10000.0,0.0,54.29666666666666,0.0,0.0,0.0,winter,1
2019-01-01 05:00:00,20567.666666666668,2140.4166666666665,0.0,0.6816666666666666,2.5716666666666668,0.0,0.0,10000.0,0.0,53.91283333333334,0.0,0.0,0.0,winter,1
2019-01-01 06:00:00,21326.5,2073.25,0.6666666666666666,0.9483333333333334,2.535,0.0,0.0,10000.0,0.0,52.255,0.0,0.0,0.0,winter,1
2019-01-01 07:00:00,21390.0,1946.3333333333333,1005.75,2.436666666666667,2.866666666666667,44.4,0.0,10000.0,0.0,47.13333333333333,15.016666666666666,286.15,44.4,winter,1
2019-01-01 08:00:00,20820.5,1963.3333333333333,4952.833333333333,4.8566666666666665,3.5283333333333338,194.33333333333331,0.0,10000.0,0.0,39.211333333333336,39.28333333333333,718.6666666666666,194.33333333333331,winter,1
2019-01-01 09:00:00,20155.166666666668,1903.9166666666667,7667.083333333333,7.046666666666667,3.855,344.9833333333333,0.0,10000.0,0.0,32.737500000000004,57.68333333333334,824.0666666666666,344.9833333333333,winter,1
2019-01-01 10:00:00,19550.0,1879.4166666666667,8253.0,8.811666666666667,3.838333333333333,462.01666666666665,0.0,10000.0,0.0,28.92316666666667,68.75,881.9333333333334,462.01666666666665,winter,1
2019-01-01 11:00:00,18951.916666666668,1994.4166666666667,8164.833333333333,10.036666666666669,3.773333333333333,527.0833333333334,0.0,10000.0,0.0,26.83633333333334,71.89999999999999,920.65,527.0833333333334,winter,1
