time,load,wind_power,solar_power,temp,humidity,wind_speed,dhi,dni,ghi,season,day_of_week,source_row,season_code_raw,day_of_week_raw
2019-01-01 00:00:00,21851.416666666668,2812.0833333333335,0.0,1.6833333333333336,55.809333333333335,2.8383333333333334,0.0,0.0,0.0,winter,1,5.5,1.0,1.0
2019-01-01 01:00:00,21099.666666666668,2499.5,0.0,1.405,55.159,2.7699999999999996,0.0,0.0,0.0,winter,1,17.5,1.0,1.0
2019-01-01 02:00:00,20495.416666666668,2387.0833333333335,0.0,1.1866666666666668,54.532833333333336,2.69,0.0,0.0,0.0,winter,1,29.5,1.0,1.0
2019-01-01 03:00:00,20147.5,2369.3333333333335,0.0,0.985,54.31783333333334,2.6550000000000002,0.0,0.0,0.0,winter,1,41.5,1.0,1.0
2019-01-01 04:00:00,20144.416666666668,2323.0833333333335,0.0,0.8116666666666666,54.29666666666666,2.6283333333333334,0.0,0.0,0.0,winter,1,53.5,1.0,1.0
2019-01-01 05:00:00,20567.666666666668,2140.4166666666665,0.0,0.6816666666666666,53.91283333333334,2.5716666666666668,0.0,0.0,0.0,winter,1,65.5,1.0,1.0
2019-01-01 06:00:00,21326.5,2073.25,0.6666666666666666,0.9483333333333334,52.255,2.535,0.0,0.0,0.0,winter,1,77.5,1.0,1.0
2019-01-01 07:00:00,21390.0,1946.3333333333333,1005.75,2.436666666666667,47.13333333333333,2.866666666666667,15.016666666666666,286.15,44.4,winter,1,89.5,1.0,1.0
2019-01-01 08:00:00,20820.5,1963.3333333333333,4952.833333333333,4.8566666666666665,39.211333333333336,3.5283333333333338,39.28333333333333,718.6666666666666,194.33333333333334,winter,1,101.5,1.0,1.0
2019-01-01 09:00:00,20155.166666666668,1903.9166666666667,7667.083333333333,7.046666666666667,32.737500000000004,3.8550000000000004,57.68333333333334,824.0666666666666,344.98333333333335,winter,1,113.5,1.0,1.0
2019-01-01 10:00:00,19550.0,1879.4166666666667,8253.0,8.811666666666667,28.92316666666667,3.838333333333333,68.75,881.9333333333334,462.01666666666665,winter,1,125.5,1.0,1.0
2019-01-01 11:00:00,18951.916666666668,1994.4166666666667,8164.833333333333,10.036666666666667,26.83633333333334,3.773333333333333,71.89999999999999,920.65,527.0833333333334,winter,1,137.5,1.0,1.0
2019-01-01 12:00:00,18598.0,1726.1666666666667,8135.833333333333,10.705,26.233166666666666,3.7899999999999996,83.5,871.6666666666666,519.0166666666667,winter,1,149.5,1.0,1.0
2019-01-01 13:00:00,18624.0,1400.1666666666667,8254.166666666666,10.846666666666666,26.885666666666665,3.7899999999999996,68.14999999999999,900.35,472.01666666666665,winter,1,161.5,1.0,1.0
2019-01-01 14:00:00,19202.416666666668,1126.8333333333333,7693.0,10.313333333333334,30.1375,3.5050000000000003,60.15,839.6333333333333,358.8833333333334,winter,1,173.5,1.0,1.0
2019-01-01 15:00:00,20349.583333333332,757.1666666666666,5060.833333333333,9.760000000000002,33.612,3.22,46.15,709.6166666666667,205.91666666666666,winter,1,185.5,1.0,1.0
2019-01-01 16:00:00,22596.0,543.75,983.9166666666666,6.168333333333334,44.7665,2.4033333333333333,19.916666666666668,294.56666666666666,46.166666666666664,winter,1,197.5,1.0,1.0
2019-01-01 17:00:00,25972.0,464.8333333333333,3.25,5.158333333333334,46.7275,2.3466666666666667,0.0,0.0,0.0,winter,1,209.5,1.0,1.0
2019-01-01 18:00:00,26872.25,381.3333333333333,2.0,4.695,48.179833333333335,2.2183333333333333,0.0,0.0,0.0,winter,1,221.5,1.0,1.0
2019-01-01 19:00:00,26711.083333333332,385.6666666666667,2.0,4.388333333333334,49.3185,2.081666666666667,0.0,0.0,0.0,winter,1,233.5,1.0,1.0
2019-01-01 20:00:00,26334.5,343.6666666666667,2.0,4.163333333333334,50.21416666666667,1.9383333333333335,0.0,0.0,0.0,winter,1,245.5,1.0,1.0
2019-01-01 21:00:00,25437.333333333332,315.0,2.0,3.9183333333333334,51.19316666666666,1.8083333333333336,0.0,0.0,0.0,winter,1,257.5,1.0,1.0
2019-01-01 22:00:00,23929.333333333332,259.3333333333333,2.0,3.7449999999999997,51.921666666666674,1.705,0.0,0.0,0.0,winter,1,269.5,1.0,1.0
2019-01-01 23:00:00,22372.5,247.91666666666666,1.8333333333333333,3.6400000000000006,52.366166666666665,1.6316666666666668,0.0,0.0,0.0,winter,1,281.5,1.0,1.0
2019-01-02 00:00:00,21224.25,207.0,0.0,3.615,52.35383333333334,1.5916666666666668,0.0,0.0,0.0,winter,2,293.5,1.0,2.0
2019-01-02 01:00:00,20495.0,209.25,0.0,3.633333333333334,52.00833333333333,1.5450000000000002,0.0,0.0,0.0,winter,2,305.5,1.0,2.0
2019-01-02 02:00:00,20125.416666666668,266.4166666666667,0.0,3.6100000000000008,51.63883333333334,1.5283333333333333,0.0,0.0,0.0,winter,2,317.5,1.0,2.0
2019-01-02 03:00:00,20196.333333333332,291.1666666666667,0.0,3.5316666666666667,51.655499999999996,1.5066666666666668,0.0,0.0,0.0,winter,2,329.5,1.0,2.0
2019-01-02 04:00:00,20893.166666666668,310.5833333333333,0.0,3.4633333333333334,52.121,1.5083333333333337,0.0,0.0,0.0,winter,2,341.5,1.0,2.0
2019-01-02 05:00:00,22421.75,366.3333333333333,0.0,3.453333333333333,52.423166666666674,1.4916666666666671,0.0,0.0,0.0,winter,2,353.5,1.0,2.0
2019-01-02 06:00:00,24535.916666666668,412.0,0.6666666666666666,3.77,52.39266666666666,1.4583333333333337,0.0,0.0,0.0,winter,2,365.5,1.0,2.0
2019-01-02 07:00:00,25734.083333333332,474.5833333333333,1004.9166666666666,5.1450000000000005,50.326,1.6450000000000002,14.833333333333334,259.1166666666667,41.699999999999996,winter,2,377.5,1.0,2.0
2019-01-02 08:00:00,25510.666666666668,406.5833333333333,5085.666666666667,7.326666666666667,45.7225,2.11,38.199999999999996,697.0166666666668,189.5666666666667,winter,2,389.5,1.0,2.0
2019-01-02 09:00:00,24498.583333333332,410.6666666666667,7747.0,9.213333333333333,40.905,2.346666666666667,52.050000000000004,846.0666666666666,344.76666666666665,winter,2,401.5,1.0,2.0
2019-01-02 10:00:00,23536.5,401.4166666666667,8175.0,10.666666666666666,37.467166666666664,2.35,61.083333333333336,907.5500000000001,462.3333333333333,winter,2,413.5,1.0,2.0
2019-01-02 11:00:00,22721.25,421.0833333333333,8053.5,11.686666666666667,35.92116666666667,2.3133333333333335,64.61666666666666,937.8000000000001,527.6,winter,2,425.5,1.0,2.0
2019-01-02 12:00:00,22134.333333333332,448.0,8048.416666666667,12.311666666666667,35.1865,2.2150000000000003,66.35000000000001,935.6166666666667,531.0166666666667,winter,2,437.5,1.0,2.0
2019-01-02 13:00:00,22140.833333333332,293.0,8234.0,12.486666666666666,35.8365,2.1166666666666667,65.60000000000001,904.8666666666667,472.8833333333334,winter,2,449.5,1.0,2.0
2019-01-02 14:00:00,22510.5,295.4166666666667,7926.833333333333,11.979999999999999,39.445,1.7183333333333335,59.083333333333336,842.1833333333334,360.45,winter,2,461.5,1.0,2.0
2019-01-02 15:00:00,23456.5,249.08333333333334,5381.166666666667,11.420000000000002,43.296000000000014,1.3400000000000005,46.583333333333336,704.8333333333334,207.11666666666667,winter,2,473.5,1.0,2.0
2019-01-02 16:00:00,25337.666666666668,213.66666666666666,1039.6666666666667,8.57,49.83983333333333,0.9400000000000001,19.816666666666666,320.03333333333336,49.800000000000004,winter,2,485.5,1.0,2.0
