sample_index,selected_method,selected_score,target_cum,target_core,target_ramp,target_duration,score_DurationAware_RiskFirst_TCN_Empirical,score_RiskFirst_TCN_Empirical,score_extreme_conditioned_gaussian_copula,score_traditional_gaussian_copula,score_enhanced_gan,score_ordinary_conditional_tcn,score_ganfix_Conditional_NormalizingFlow_Risk_Generator,score_ganfix_Conditional_Transformer_Risk_Generator,score_ganfix_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_ganfix_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_ganfix_TransformerVAE_Augmented_TailWeighted_Copula,score_ganfix_ValSelected_Model_Ensemble,score_ganfix_ValSelected_Model_Ensemble_Margin_0.00,score_ganfix_ValSelected_Model_Ensemble_Margin_0.05,score_ganfix_ValSelected_Model_Ensemble_Margin_0.10
0,RiskFirst_TCN_Empirical,0.22766878532710735,26.2368032282049,7.214057098735458,8.474754853682084,15.0,0.485548114671289,0.22766878532710735,2.0359592083357874,6.718532719657082,4.354059527934055,0.3316704169588802,0.5142416279936657,0.8734384914548726,0.6072012492786713,0.3644681313351582,0.40867504690204964,0.3644681313351582,0.3644681313351582,0.3644681313351582,0.3644681313351582
1,ganfix_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.16568740916536068,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.453462504767415,0.49011059189350015,0.1851638132205353,1.0557823458539641,0.5043242563247794,0.1731084150550653,0.3135947377916633,0.2690601159997472,0.16568740916536068,0.22826638513948,0.3791488464383461,0.22826638513948,0.22826638513948,0.22826638513948,0.22826638513948
2,ganfix_TransformerVAE_Augmented_TailWeighted_Copula,0.1396123970620902,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.28690146088428514,0.47927951283191905,0.14117433308400149,0.7577815051905973,0.24568878308409048,0.3162701762659897,0.2631548514368991,0.18635279655522485,0.1918199798955539,0.20670848333470626,0.1396123970620902,0.20670848333470626,0.20670848333470626,0.20670848333470626,0.20670848333470626
3,ganfix_TransformerVAE_Augmented_TailWeighted_Copula,0.12572953783791654,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.2391024398126224,0.41678168430588713,0.4357656469439575,1.3491659243735772,0.36553572347085467,0.2244274728768042,0.21537242350032737,0.21004012112314238,0.23553600264013053,0.15885715302638242,0.12572953783791654,0.15885715302638242,0.15885715302638242,0.15885715302638242,0.15885715302638242
4,ganfix_TransformerVAE_Augmented_TailWeighted_Copula,0.10719639717120791,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.214797707029644,0.3026954792173903,0.27989637304706466,1.0624051974017867,0.38974985569172665,0.35219020726752787,0.35807607043143275,0.36452007071891157,0.17856125180425308,0.16897651210643028,0.10719639717120791,0.16897651210643028,0.16897651210643028,0.16897651210643028,0.16897651210643028
5,ganfix_TransformerVAE_Augmented_TailWeighted_Copula,0.13319957699548113,47.330928802490234,19.516892433166504,8.594188690185547,11.0,0.15651851991796314,0.16927515178313524,0.6981680049155693,0.47844234830850096,0.3576020706433161,0.19300895128560563,0.5015116696509532,0.2140374119769219,0.4271206131331061,0.19823961842544194,0.13319957699548113,0.19823961842544194,0.19823961842544194,0.19823961842544194,0.19823961842544194
6,enhanced_gan,0.696251310002309,47.330928802490234,19.516892433166504,8.594188690185547,11.0,0.8422940819204854,0.826083778603159,0.8841985766406976,2.3818626443951203,0.696251310002309,1.0439437421380082,0.7899961014308591,0.8633600060773792,0.8915150172069628,0.8200260620654416,0.8449061587625024,0.8200260620654416,0.8200260620654416,0.8200260620654416,0.8200260620654416
7,DurationAware_RiskFirst_TCN_Empirical,0.5988100293914465,47.330928802490234,19.516892433166504,8.594188690185547,11.0,0.5988100293914465,1.051425654455977,1.1950800475373766,0.967820441355487,0.9971084175637436,0.9676591282904512,0.9142141237603161,0.7736378976278494,0.8058547941833374,0.8526919581283083,0.9740534131080502,0.8526919581283083,0.8526919581283083,0.8526919581283083,0.8526919581283083
8,DurationAware_RiskFirst_TCN_Empirical,0.1929028489541192,48.50658468766646,19.93110318617387,8.647556565024637,11.227272727272727,0.1929028489541192,0.4630409610567048,0.37923964147898637,0.6909826563789345,0.865113614824645,0.6136396371936924,0.7764960121546978,0.8174200639094364,0.7825691041863462,0.8469648461037699,0.9765719988093388,0.8469648461037699,0.8469648461037699,0.8469648461037699,0.8469648461037699
9,ganfix_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.2349674733047267,50.7606406211853,26.04049015045166,8.443650245666504,13.0,0.7309967013474921,0.9001685658180799,1.0858377388179898,1.006908292894178,0.6463354126557481,0.24434045110182445,0.42913651087560795,0.4031383707095925,0.30798253679730436,0.2349674733047267,0.5176725364614501,0.2349674733047267,0.2349674733047267,0.2349674733047267,0.2349674733047267
