sample_index,selected_method,selected_score,target_cum,target_core,target_ramp,target_duration,score_DurationAware_RiskFirst_TCN_Empirical,score_RiskFirst_TCN_Empirical,score_extreme_conditioned_gaussian_copula,score_traditional_gaussian_copula,score_enhanced_gan,score_ordinary_conditional_tcn,score_targeted_seed45_Conditional_NormalizingFlow_Risk_Generator,score_targeted_seed45_Conditional_TCN_Risk_Generator,score_targeted_seed45_Conditional_Transformer_Risk_Generator,score_targeted_seed45_Expanded_ValSelected_Model_Ensemble,score_targeted_seed45_Expanded_ValSelected_Model_Ensemble_Margin_0.05,score_targeted_seed45_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_targeted_seed45_RiskKNN_Bootstrap_Generator,score_targeted_seed45_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_targeted_seed45_TransformerVAE_Augmented_TailWeighted_Copula,score_targeted_seed46_Conditional_NormalizingFlow_Risk_Generator,score_targeted_seed46_Conditional_TCN_Risk_Generator,score_targeted_seed46_Conditional_Transformer_Risk_Generator,score_targeted_seed46_Expanded_ValSelected_Model_Ensemble,score_targeted_seed46_Expanded_ValSelected_Model_Ensemble_Margin_0.05,score_targeted_seed46_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_targeted_seed46_RiskKNN_Bootstrap_Generator,score_targeted_seed46_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_targeted_seed46_TransformerVAE_Augmented_TailWeighted_Copula,score_targeted_seed47_Conditional_NormalizingFlow_Risk_Generator,score_targeted_seed47_Conditional_TCN_Risk_Generator,score_targeted_seed47_Conditional_Transformer_Risk_Generator,score_targeted_seed47_Expanded_ValSelected_Model_Ensemble,score_targeted_seed47_Expanded_ValSelected_Model_Ensemble_Margin_0.05,score_targeted_seed47_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_targeted_seed47_RiskKNN_Bootstrap_Generator,score_targeted_seed47_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_targeted_seed47_TransformerVAE_Augmented_TailWeighted_Copula
0,targeted_seed46_TransformerVAE_Augmented_TailWeighted_Copula,0.14269942239271044,26.2368032282049,7.214057098735458,8.474754853682084,15.0,0.4377996980785217,0.24655398972659492,2.0446550888697774,7.090071248629967,4.319108167436869,0.24825203651631292,0.3736637484727285,0.6396714848530792,0.3258527090646967,0.7769748313380683,0.7769748313380683,0.613654181547296,0.5692203178963372,0.33313446060767693,0.7769748313380683,0.5789406251933279,0.5081083790146511,0.6690623926804004,0.4569781144393521,0.4569781144393521,0.613654181547296,0.3874781951223833,0.4569781144393521,0.14269942239271044,0.35837284753476145,0.8200077120606658,0.3953098129915186,0.7102843508575214,0.7102843508575214,0.613654181547296,0.4005893895060781,0.7102843508575214,0.3376475240575406
1,targeted_seed47_Expanded_ValSelected_Model_Ensemble,0.06059054385905122,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.5668381054856292,0.5064261673529593,0.16177727883558696,1.1937157553363762,0.592521383112986,0.14663744246831456,0.4213433911286911,0.18030050911780438,0.18450516484717747,0.1295227479131849,0.1295227479131849,0.17849096608737472,0.11634976549842845,0.17941102537227044,0.1295227479131849,0.8472138722343443,0.3399192035342989,0.3334303157657618,0.11386028156566307,0.11386028156566307,0.17849096608737472,0.11199837359538355,0.11386028156566307,0.17218573473637278,0.25109173466126034,0.4920534924204849,0.3336722993857219,0.06059054385905122,0.06059054385905122,0.17849096608737472,0.08580290450620957,0.06059054385905122,0.09030593209996482
2,targeted_seed45_Conditional_Transformer_Risk_Generator,0.026560824472521897,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.3433646429353686,0.5018470665991945,0.14690756275125788,0.8931277481600521,0.27501069387361665,0.30324640283490834,0.3286073820627675,0.19329919545724603,0.026560824472521897,0.23155346767467327,0.23155346767467327,0.1664394771659411,0.2414887892728973,0.1281265014757484,0.23155346767467327,0.4240222383109862,0.1484273152337197,0.31399952753672017,0.1730418679220489,0.1730418679220489,0.1664394771659411,0.24551840316084933,0.1730418679220489,0.28824440568489745,0.5853451063554177,0.16850845558509872,0.5476517103638614,0.2628211872584596,0.2628211872584596,0.1664394771659411,0.22254238156495137,0.2628211872584596,0.18175987884191047
3,targeted_seed46_RiskKNN_Bootstrap_Generator,0.10067581537190705,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.3414165795990891,0.47386076557383416,0.5156487333129876,1.4284226181520665,0.35714320678964573,0.2600206398667275,0.16455127263288485,0.13463822949089604,0.400494729986123,0.24290938601467837,0.24290938601467837,0.20588789134973978,0.11596540392536184,0.13831719090493952,0.24290938601467837,0.6948139820793273,0.3162530203403166,0.1331261976355991,0.20628911621093549,0.20628911621093549,0.20588789134973978,0.10067581537190705,0.20628911621093549,0.21625031035668998,0.2746451960786016,0.22746479578930012,0.3304443164081289,0.17414036471593936,0.17414036471593936,0.20588789134973978,0.1280083969775434,0.17414036471593936,0.22027094243082174
4,targeted_seed45_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.09343789669861881,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.3104882488641217,0.2877568381765233,0.2554394791636299,1.1990140365746342,0.3882834956572874,0.33874591096551987,0.24945242069758303,0.3395047492276012,0.16747356444168904,0.19790345784874938,0.19790345784874938,0.1860592382938139,0.2547525176528839,0.09343789669861881,0.19790345784874938,0.19686506755804056,0.14592916406393297,0.410921799909928,0.1432811768534396,0.1432811768534396,0.1860592382938139,0.24624835735904116,0.1432811768534396,0.2578848199027828,0.48210309173914195,0.1109047252498812,0.11576934558552085,0.17579606138175063,0.17579606138175063,0.1860592382938139,0.2690208610335121,0.17579606138175063,0.2501204915889605
5,targeted_seed45_Conditional_NormalizingFlow_Risk_Generator,0.10659875492325104,47.330928802490234,19.516892433166504,8.594188690185547,11.0,0.19731916616164713,0.17910258919857905,0.7709716463480697,0.4259289293131779,0.36621551896217763,0.23399276890390064,0.10659875492325104,0.2451164952396011,0.13915174363515756,0.20851444778996364,0.20851444778996364,0.497640145978323,0.2026298111920006,0.26013964717093274,0.20851444778996364,0.33362007823820033,0.27262190695385874,0.15192496073996584,0.293239224868739,0.293239224868739,0.497640145978323,0.22481036109922206,0.293239224868739,0.24407382107198125,0.21233195439786567,0.7165798356245777,0.11787718235825018,0.2441060856559251,0.2441060856559251,0.497640145978323,0.22885085357100177,0.2441060856559251,0.27149548863263795
6,enhanced_gan,0.723733940147628,47.330928802490234,19.516892433166504,8.594188690185547,11.0,0.9145654636586882,1.0471643180082122,0.8893972859742493,2.7032257498299495,0.723733940147628,1.0153352107278688,0.7873403156365715,0.8833390910414826,0.8732713955979557,0.9112508491546938,0.9112508491546938,0.8825971925790603,0.9787426833943171,1.0244312285534325,0.9112508491546938,0.8503080883744558,0.8671170177566306,0.8163738978399894,0.7987542673149033,0.7987542673149033,0.8825971925790603,0.9020944800127,0.7987542673149033,0.9001096385603056,0.7707574863640929,0.8240430238216868,0.8090539169472042,0.9353919379073509,0.9353919379073509,0.8825971925790603,0.8233509250360669,0.9353919379073509,0.9137073749210411
7,targeted_seed46_Conditional_NormalizingFlow_Risk_Generator,0.7309663870771589,47.330928802490234,19.516892433166504,8.594188690185547,11.0,0.7443880270417856,1.2358112289470233,1.1469213040008852,1.032711075269619,1.141656973433383,0.9555499060436475,0.978717000165596,0.8191408938794859,0.8313246763609674,0.8752645502850187,0.8752645502850187,0.8085942648450369,0.953115229836855,0.874506644561013,0.8752645502850187,0.7309663870771589,0.9053227359434778,1.0571685112039695,0.881974394362664,0.881974394362664,0.8085942648450369,0.8338144043631114,0.881974394362664,0.851525404919172,0.9608780931558036,0.9800810252612514,1.0102820231467753,0.9490162310987453,0.9490162310987453,0.8085942648450369,1.0041234673438204,0.9490162310987453,0.9325699475685598
8,DurationAware_RiskFirst_TCN_Empirical,0.20873356735143994,48.50658468766646,19.93110318617387,8.647556565024637,11.227272727272727,0.20873356735143994,0.5291584500607964,0.3870778574435135,0.7392469715700678,1.0089109044865279,0.6375988411134046,0.7075380942078617,0.6054093459682016,0.811359102910859,0.88004578756438,0.88004578756438,0.8317873822020564,0.7800514767339936,0.9612139737884186,0.88004578756438,0.9900232552888487,0.7232736357625759,0.960695221923288,0.8632285776408813,0.8632285776408813,0.8317873822020564,0.8151375740332042,0.8632285776408813,0.8531551152667779,0.7655579771379181,0.5529096512512884,0.9193682490532855,0.9476740758509203,0.9476740758509203,0.8317873822020564,0.7884411715493844,0.9476740758509203,0.8607136253580286
9,targeted_seed46_RiskKNN_Bootstrap_Generator,0.07474278537572435,50.7606406211853,26.04049015045166,8.443650245666504,13.0,0.8974622932330162,1.0159048405037672,1.1102703294473408,0.7938451647847707,0.5942105181566305,0.25814253876653126,0.5640943590365526,0.19971637198824987,0.596871197223755,0.29350470012778435,0.29350470012778435,0.23506382848195012,0.10986008060624297,0.09046377521322391,0.29350470012778435,1.4194423480789609,0.25366446285037353,0.320192181489342,0.8318464401932267,0.8318464401932267,0.23506382848195012,0.07474278537572435,0.8318464401932267,0.29670026029975927,0.6000675029694821,0.19355903868551694,0.506166916807565,0.4826265214345182,0.4826265214345182,0.23506382848195012,0.21864784096847661,0.4826265214345182,0.4574765826902486
