sample_index,selected_method,selected_score,global_objective
0,RiskFirst_TCN_Empirical,0.23352405895608028,0.2529722563139798
1,DurationAware_RiskFirst_TCN_Empirical,0.4847290548491505,0.2529722563139798
2,DurationAware_RiskFirst_TCN_Empirical,0.3091169555555938,0.2529722563139798
3,DurationAware_RiskFirst_TCN_Empirical,0.27440578569831486,0.2529722563139798
4,DurationAware_RiskFirst_TCN_Empirical,0.24809039351893308,0.2529722563139798
5,DurationAware_RiskFirst_TCN_Empirical,0.17427770175956506,0.2529722563139798
6,extreme_conditioned_gaussian_copula,0.9011592257178316,0.2529722563139798
7,extreme_conditioned_gaussian_copula,1.2004423131223985,0.2529722563139798
8,RiskFirst_TCN_Empirical,0.4861437120550606,0.2529722563139798
9,RiskFirst_TCN_Empirical,0.9249655574576544,0.2529722563139798
10,extreme_conditioned_gaussian_copula,0.4800069412987154,0.2529722563139798
11,DurationAware_RiskFirst_TCN_Empirical,0.438991248704107,0.2529722563139798
12,DurationAware_RiskFirst_TCN_Empirical,0.47095967806315453,0.2529722563139798
13,extreme_conditioned_gaussian_copula,0.3757441427948227,0.2529722563139798
14,RiskFirst_TCN_Empirical,0.3857485298422447,0.2529722563139798
15,RiskFirst_TCN_Empirical,0.13941840324610963,0.2529722563139798
16,RiskFirst_TCN_Empirical,1.3238147259412403,0.2529722563139798
17,DurationAware_RiskFirst_TCN_Empirical,0.10936421457105229,0.2529722563139798
18,extreme_conditioned_gaussian_copula,0.7896557866740576,0.2529722563139798
19,DurationAware_RiskFirst_TCN_Empirical,0.7125058324490482,0.2529722563139798
20,DurationAware_RiskFirst_TCN_Empirical,1.1263069307474,0.2529722563139798
21,DurationAware_RiskFirst_TCN_Empirical,1.0620512430706,0.2529722563139798
22,DurationAware_RiskFirst_TCN_Empirical,0.4360405901967872,0.2529722563139798
23,RiskFirst_TCN_Empirical,1.2819462906604817,0.2529722563139798
24,DurationAware_RiskFirst_TCN_Empirical,0.44199116562272445,0.2529722563139798
25,RiskFirst_TCN_Empirical,0.47625141685080163,0.2529722563139798
26,RiskFirst_TCN_Empirical,1.2478021011379434,0.2529722563139798
