cum_deficit,core_cum_deficit,netload_ramp_max,imbalance_duration,max_imbalance_run
18.214134216308594,5.024859428405762,6.847142219543457,11.0,4.0
37.945640563964844,17.978273391723633,9.490034103393555,8.0,8.0
44.16204071044922,16.852609634399414,9.814613342285156,11.0,11.0
40.52613067626953,11.372276306152344,9.336785316467285,10.0,8.0
37.292205810546875,16.407633781433105,9.595178604125977,9.0,5.0
20.37096405029297,13.470946311950684,7.759799480438232,8.0,4.0
12.008155822753906,0.0,4.623282432556152,11.0,6.0
14.554948806762695,2.726260185241699,5.207777976989746,10.0,6.0
10.019436836242676,2.4880919456481934,6.728161811828613,8.0,4.0
49.725791931152344,16.045495986938477,8.177074432373047,13.0,8.0
21.523849487304688,14.445022583007812,7.783452987670898,11.0,6.0
38.18186569213867,16.432878494262695,9.702888488769531,7.0,7.0
36.00212478637695,13.996748924255371,8.783470153808594,9.0,9.0
10.793460845947266,0.40193939208984375,4.527017593383789,10.0,9.0
26.87944793701172,16.040871620178223,8.326569557189941,8.0,4.0
12.218746185302734,1.5001959800720215,8.234786033630371,9.0,3.0
84.55009460449219,11.06977653503418,12.075997352600098,12.0,9.0
13.060693740844727,3.747730255126953,6.7731547355651855,8.0,5.0
54.54762268066406,29.638315200805664,8.000862121582031,12.0,9.0
25.48897361755371,7.711661338806152,7.08912467956543,20.0,11.0
66.45638275146484,19.726658821105957,10.121360778808594,15.0,11.0
80.12380981445312,14.644376754760742,11.954900741577148,14.0,12.0
53.53243637084961,19.4050235748291,8.807435989379883,9.0,9.0
148.86312866210938,75.56583595275879,9.604338645935059,25.0,13.0
54.95051956176758,18.324609756469727,10.60769271850586,9.0,9.0
52.109901428222656,15.766234397888184,8.382801055908203,10.0,8.0
90.4942626953125,29.529561042785645,7.448246955871582,18.0,15.0
