load_wasserstein,load_js,load_acf_mae,wind_power_wasserstein,wind_power_js,wind_power_acf_mae,solar_power_wasserstein,solar_power_js,solar_power_acf_mae,mean_wasserstein,mean_js,acf_mae,corr_matrix_error,cum_deficit_mae,cum_deficit_relative_error,q95_cum_deficit_error,q99_cum_deficit_error,netload_ramp_max_mae,netload_ramp_max_relative_error,q95_netload_ramp_max_error,q99_netload_ramp_max_error,imbalance_duration_mae,imbalance_duration_relative_error,q95_imbalance_duration_error,q99_imbalance_duration_error,core_cum_deficit_mae,core_q95_cum_deficit_error,core_q99_cum_deficit_error,core_netload_ramp_max_mae,core_q95_netload_ramp_max_error,core_q99_netload_ramp_max_error,core_imbalance_duration_mae,core_q95_imbalance_duration_error,core_q99_imbalance_duration_error,extreme_degree_match_rate,extreme_degree_adjacent_match_rate,dataset,method,model_name,generated_path
1.2820751262299805,0.08459240408105785,0.15474306129843027,1.056834049195758,0.301381429198776,0.23130220889571332,0.9225469860842321,0.4221991359875188,0.15080374829980828,1.0871520538366568,0.2693909897557842,0.17894967283131727,0.18450931347723432,16.424110709800264,0.1745911544240139,4.101204235356349,5.00791528560957,2.68306406279724,0.012799093804497917,3.750045657157898,3.7221248453855527,6.222222222222222,0.3216783213746392,4.0,3.2600000000000016,11.003078485983437,5.097415039054567,11.238448992387212,2.6358453697628446,2.21777982711792,2.2289401626586915,2.4814814814814814,0.0,0.0,0.5925925925925926,0.9259259259259259,cessnock_or_newarea,TargetSelected_empirical_rf_duration_pool_paper_weights,TargetSelected_empirical_rf_duration_pool_paper_weights,C:\Users\13411\MyPython\project\ExtremeScene\results\method_pool_risk_target_selection_expanded_fast\cessnock_or_newarea\generated_samples_TargetSelected_empirical_rf_duration_pool_paper_weights.npy
1.1818142292921434,0.08039935698833457,0.1396536180287282,1.0575329574394083,0.2975203194370598,0.22948585689021525,0.8934744118862316,0.4085569823146012,0.13759746386184105,1.0442738662059277,0.2621588862466652,0.16891231292692818,0.17421857303691526,16.847074895153888,0.13410198598666795,4.101204235356349,5.00791528560957,2.7270845941513673,0.007127235429402186,3.750045657157898,3.7221248453855527,5.592592592592593,0.262237761990195,4.0,3.2600000000000016,11.06078938146941,5.097415039054567,11.238448992387212,2.824037278140033,2.6024476051330563,2.3659382057189937,2.4074074074074074,0.0,0.0,0.5555555555555556,0.8888888888888888,cessnock_or_newarea,TargetSelected_empirical_rf_duration_pool_duration_guard,TargetSelected_empirical_rf_duration_pool_duration_guard,C:\Users\13411\MyPython\project\ExtremeScene\results\method_pool_risk_target_selection_expanded_fast\cessnock_or_newarea\generated_samples_TargetSelected_empirical_rf_duration_pool_duration_guard.npy
1.3237061704137196,0.08623363841694408,0.16422030777470406,1.0544849962956087,0.3014299769595391,0.23257630233671037,0.9346917342210626,0.4324862804181738,0.15833703252289097,1.1042943003101302,0.27338329859821897,0.18504454754476848,0.18847910019944777,17.134178078456408,0.19411965890342842,0.46819987511871375,2.2427633575469486,2.750462191483368,0.02148305623963924,3.750045657157898,3.7221248453855527,6.37037037037037,0.33566433534744966,5.0,5.0,10.497049271025425,5.097415039054567,11.238448992387212,2.806502068484271,2.6862192153930664,5.289258480072016,2.4444444444444446,0.0,0.0,0.5925925925925926,0.9259259259259259,cessnock_or_newarea,TargetSelected_empirical_rf_duration_pool_core_ramp_guard,TargetSelected_empirical_rf_duration_pool_core_ramp_guard,C:\Users\13411\MyPython\project\ExtremeScene\results\method_pool_risk_target_selection_expanded_fast\cessnock_or_newarea\generated_samples_TargetSelected_empirical_rf_duration_pool_core_ramp_guard.npy
1.5079187696853291,0.09790424316399628,0.1939350019109087,1.0505796066383721,0.3002166143982455,0.24740502251889898,0.9868598628267954,0.4509296980735335,0.1854902847890457,1.1817860797168322,0.28301685187859177,0.20894343640628446,0.2096724313996952,17.355161008931386,0.28020729980206954,3.2948579211325324,14.287849933482292,2.816708365483296,0.04128197735322701,3.0580490112304677,2.912881135344506,6.777777777777778,0.4230769226775147,6.0,7.479999999999997,11.056890687932151,5.097415039054567,11.89050087989942,3.0960186234226934,3.8770939826965325,5.319352912902829,2.4444444444444446,0.3000000000000007,0.7399999999999984,0.5925925925925926,1.0,cessnock_or_newarea,TargetSelected_empirical_rf_duration_pool_q99_guard,TargetSelected_empirical_rf_duration_pool_q99_guard,C:\Users\13411\MyPython\project\ExtremeScene\results\method_pool_risk_target_selection_expanded_fast\cessnock_or_newarea\generated_samples_TargetSelected_empirical_rf_duration_pool_q99_guard.npy
1.3359478542834151,0.08732161004871154,0.16186099826437733,1.052642225984041,0.3006846561387244,0.23409906219611812,0.9404674334367242,0.42873334040889927,0.15772710160706374,1.1096858379013934,0.27224653553211176,0.18456238735585306,0.1911059879742516,16.959738626970772,0.19402647020272756,4.101204235356349,5.00791528560957,2.7187284666773244,0.017394300668603317,3.1337252020835873,3.5092896360158914,6.444444444444445,0.34265734233385475,4.0,3.2600000000000016,10.91857001363763,5.289886209479981,11.238448992387212,2.6356010878527605,2.21777982711792,2.2289401626586915,2.5185185185185186,0.3000000000000007,0.0,0.5555555555555556,0.9629629629629629,cessnock_or_newarea,TargetSelected_empirical_rf_duration_pool_global_q99,TargetSelected_empirical_rf_duration_pool_global_q99,C:\Users\13411\MyPython\project\ExtremeScene\results\method_pool_risk_target_selection_expanded_fast\cessnock_or_newarea\generated_samples_TargetSelected_empirical_rf_duration_pool_global_q99.npy
1.2884530238653897,0.0890918403595668,0.1634994138264565,1.0491378096497557,0.2942989259055422,0.2202830259051317,0.9427754457794711,0.4288987192369651,0.16019487865318843,1.0934554264315388,0.2707631618340247,0.18132577279492557,0.1867383678658795,17.337607600448493,0.14716837801248772,4.101204235356349,5.00791528560957,2.623878972908844,0.014465891125148084,4.056924998760223,4.399012841582298,5.851851851851852,0.3006993004154237,4.0,3.2600000000000016,10.768430213194195,5.097415039054567,11.238448992387212,2.8045269030111806,2.6024476051330563,2.596954612731933,2.5185185185185186,0.6999999999999993,0.26000000000000156,0.48148148148148145,0.8888888888888888,cessnock_or_newarea,TargetSelected_empirical_rf_duration_pool_global_main,TargetSelected_empirical_rf_duration_pool_global_main,C:\Users\13411\MyPython\project\ExtremeScene\results\method_pool_risk_target_selection_expanded_fast\cessnock_or_newarea\generated_samples_TargetSelected_empirical_rf_duration_pool_global_main.npy
1.245040223676972,0.07810345673241824,0.14674856867587047,0.9862176215860534,0.2531872319773167,0.22010662874379414,0.8638635222098711,0.3478580016440575,0.14702711362443432,1.0317071224909655,0.22638289678459747,0.1712941036813663,0.18802740373080495,17.89638989116933,0.2416705709822745,0.7736065439675741,4.399963889646585,2.6450524456665367,0.007901458488846522,3.838626825809479,3.7221248453855527,6.333333333333333,0.34615384582705744,4.0,3.2600000000000016,10.768221685205551,5.289886209479981,11.238448992387212,2.588831150973285,2.21777982711792,2.2289401626586915,2.5185185185185186,0.3000000000000007,0.0,0.48148148148148145,0.9629629629629629,cessnock_or_newarea,TargetSelected_empirical_riskfirst_evt_pool_paper_weights,TargetSelected_empirical_riskfirst_evt_pool_paper_weights,C:\Users\13411\MyPython\project\ExtremeScene\results\method_pool_risk_target_selection_expanded_fast\cessnock_or_newarea\generated_samples_TargetSelected_empirical_riskfirst_evt_pool_paper_weights.npy
1.0219403507778186,0.06840507713043792,0.13450086685904958,0.9576692596608676,0.23379728251289597,0.2069745750463402,0.8134750765384224,0.313195073555031,0.14177835606476832,0.9310282289923695,0.2051324777327883,0.16108459932338604,0.17283899229599062,19.915273068516754,0.1318472437343138,0.7736065439675741,4.399963889646585,2.6510967871247515,0.011710213899864708,3.838626825809479,3.7221248453855527,5.962962962962963,0.24125874103097944,4.0,3.2600000000000016,10.738534599118495,5.289886209479981,11.238448992387212,2.683699863928336,2.6024476051330563,2.3659382057189937,2.4444444444444446,0.3000000000000007,0.0,0.5185185185185185,0.9259259259259259,cessnock_or_newarea,TargetSelected_empirical_riskfirst_evt_pool_duration_guard,TargetSelected_empirical_riskfirst_evt_pool_duration_guard,C:\Users\13411\MyPython\project\ExtremeScene\results\method_pool_risk_target_selection_expanded_fast\cessnock_or_newarea\generated_samples_TargetSelected_empirical_riskfirst_evt_pool_duration_guard.npy
1.2866898409623668,0.0796527147515215,0.15622581515214426,0.9837076415413157,0.25233793350652445,0.2213807221847913,0.8760788454348416,0.35652561141203004,0.15456039784751704,1.0488254426461747,0.22950541989002535,0.17738897839481751,0.19199719045301838,18.606457259825476,0.26119907546168925,1.1696822550760118,2.2427633575469486,2.7124505743526646,0.01658542092398773,3.838626825809479,3.7221248453855527,6.481481481481482,0.36013985979986773,5.0,5.0,10.262192470247543,5.289886209479981,11.238448992387212,2.759487849694711,2.6862192153930664,5.289258480072016,2.4814814814814814,0.3000000000000007,0.0,0.5185185185185185,0.9259259259259259,cessnock_or_newarea,TargetSelected_empirical_riskfirst_evt_pool_core_ramp_guard,TargetSelected_empirical_riskfirst_evt_pool_core_ramp_guard,C:\Users\13411\MyPython\project\ExtremeScene\results\method_pool_risk_target_selection_expanded_fast\cessnock_or_newarea\generated_samples_TargetSelected_empirical_riskfirst_evt_pool_core_ramp_guard.npy
1.198102670687216,0.07278059805053877,0.16674024515070374,0.8956883415497335,0.20767672033501514,0.2099427035800354,0.8410035297412324,0.3099653547287985,0.17113942528848827,0.9782648473260607,0.19680755770478411,0.18260745800640912,0.1928804338939241,21.084634168142514,0.23216069453649507,0.7736065439675741,14.895801329445277,2.642027147901158,0.00972830152676193,3.456632983684539,3.645530640482903,7.222222222222222,0.332167831854247,5.0,7.219999999999995,10.464409499282294,5.320409464616155,11.89050087989942,2.67168637558266,2.7475987434387203,3.450916957855222,2.5185185185185186,0.3000000000000007,0.0,0.5555555555555556,0.9629629629629629,cessnock_or_newarea,TargetSelected_empirical_riskfirst_evt_pool_q99_guard,TargetSelected_empirical_riskfirst_evt_pool_q99_guard,C:\Users\13411\MyPython\project\ExtremeScene\results\method_pool_risk_target_selection_expanded_fast\cessnock_or_newarea\generated_samples_TargetSelected_empirical_riskfirst_evt_pool_q99_guard.npy
