sample_index,selected_method,selected_score,target_cum,target_core,target_ramp,target_duration,score_DurationAware_RiskFirst_TCN_Empirical,score_RiskFirst_TCN_Empirical,score_extreme_conditioned_gaussian_copula,score_traditional_gaussian_copula,score_enhanced_gan,score_ordinary_conditional_tcn,score_ganfix_Conditional_NormalizingFlow_Risk_Generator,score_ganfix_Conditional_Transformer_Risk_Generator,score_ganfix_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_ganfix_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_ganfix_TransformerVAE_Augmented_TailWeighted_Copula,score_ganfix_ValSelected_Model_Ensemble,score_ganfix_ValSelected_Model_Ensemble_Margin_0.00,score_ganfix_ValSelected_Model_Ensemble_Margin_0.05,score_ganfix_ValSelected_Model_Ensemble_Margin_0.10
0,ordinary_conditional_tcn,0.26461388690396664,26.2368032282049,7.214057098735458,8.474754853682084,15.0,0.4212893458656742,0.3364855946154986,2.1101719415789963,6.060935891366678,3.6970216544711865,0.26461388690396664,0.4822010058794633,0.7739452985165415,0.6711249328593775,0.413259546825738,0.43885668327201066,0.413259546825738,0.413259546825738,0.413259546825738,0.413259546825738
1,ordinary_conditional_tcn,0.1602809164328419,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.46360591432889314,0.509099017814999,0.16577635052767217,1.227051998007469,0.49470410104602475,0.1602809164328419,0.34731088659455445,0.25271706622122775,0.1653810862621059,0.22802654223308388,0.4047304109473724,0.22802654223308388,0.22802654223308388,0.22802654223308388,0.22802654223308388
2,ganfix_Conditional_Transformer_Risk_Generator,0.1519009333283263,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.2689613771400635,0.5453035989095932,0.1631082447729087,0.8712121678113646,0.3318523369296513,0.32260999507277127,0.27453959781587767,0.1519009333283263,0.2420092920404831,0.22487794193916183,0.17574824780771006,0.22487794193916183,0.22487794193916183,0.22487794193916183,0.22487794193916183
3,ganfix_TransformerVAE_Augmented_TailWeighted_Copula,0.1321082543332153,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.24192057016341306,0.46351310838764104,0.4818027460856318,1.4617588608231593,0.34332055456041405,0.21741329164219797,0.24619108394578648,0.19746467298551007,0.20728306148515424,0.14437116021267787,0.1321082543332153,0.14437116021267787,0.14437116021267787,0.14437116021267787,0.14437116021267787
4,ganfix_TransformerVAE_Augmented_TailWeighted_Copula,0.12339054964290085,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.22877013243509786,0.354581224171826,0.28623042448289754,1.232350279245727,0.4399581837213403,0.3055715840263638,0.34456175124759886,0.40193851467299796,0.19395169726448996,0.1665368553736043,0.12339054964290085,0.1665368553736043,0.1665368553736043,0.1665368553736043,0.1665368553736043
5,DurationAware_RiskFirst_TCN_Empirical,0.14309960046548642,47.330928802490234,19.516892433166504,8.594188690185547,11.0,0.14309960046548642,0.2942185679190966,0.8127947962193225,0.4667660907539899,0.3517246557204953,0.2354229225372153,0.49087185931820937,0.28335520963838196,0.5026244587661992,0.204054032694281,0.17873335738126878,0.204054032694281,0.204054032694281,0.204054032694281,0.204054032694281
6,ganfix_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.6997067066218637,47.330928802490234,19.516892433166504,8.594188690185547,11.0,0.9468803981090254,1.0949384365163308,0.8088327450979064,2.605734652904668,0.7359848129143445,0.9195701693588132,0.7134831524066151,0.8162601735905476,0.7696050218487589,0.6997067066218637,0.7964035707029221,0.6997067066218637,0.6997067066218637,0.6997067066218637,0.6997067066218637
7,ganfix_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.7228189168335502,47.330928802490234,19.516892433166504,8.594188690185547,11.0,0.7889459760354809,1.4855231742735244,1.1534155040420873,1.04656885221642,1.1286646297536902,0.874363000198332,0.8491936501288607,0.7964477841047478,0.7228189168335502,0.7503676329126137,0.9354100704961024,0.7503676329126137,0.7503676329126137,0.7503676329126137,0.7503676329126137
8,DurationAware_RiskFirst_TCN_Empirical,0.3053320905053817,48.50658468766646,19.93110318617387,8.647556565024637,11.227272727272727,0.3053320905053817,0.6321973178769685,0.5254833719116304,0.7178770143650898,1.1536731158097515,0.5274519429444563,0.7443032779399713,0.8679906788581767,0.7965957973262853,0.8432940549024541,1.030144437424066,0.8432940549024541,0.8432940549024541,0.8432940549024541,0.8432940549024541
9,ordinary_conditional_tcn,0.22640929859422004,50.7606406211853,26.04049015045166,8.443650245666504,13.0,0.7364178247341641,0.9627828485813938,0.952601425453364,0.8731904352286124,0.5507251375243214,0.22640929859422004,0.38100661074872216,0.43228067966336226,0.2628778784116675,0.25048590354483957,0.46171596693070605,0.25048590354483957,0.25048590354483957,0.25048590354483957,0.25048590354483957
