sample_index,selected_method,selected_score,target_cum,target_core,target_ramp,target_duration,score_DurationAware_RiskFirst_TCN_Empirical,score_RiskFirst_TCN_Empirical,score_extreme_conditioned_gaussian_copula,score_traditional_gaussian_copula,score_enhanced_gan,score_ordinary_conditional_tcn,score_ganfix_Conditional_NormalizingFlow_Risk_Generator,score_ganfix_Conditional_Transformer_Risk_Generator,score_ganfix_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_ganfix_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_ganfix_TransformerVAE_Augmented_TailWeighted_Copula,score_ganfix_ValSelected_Model_Ensemble,score_ganfix_ValSelected_Model_Ensemble_Margin_0.00,score_ganfix_ValSelected_Model_Ensemble_Margin_0.05,score_ganfix_ValSelected_Model_Ensemble_Margin_0.10,score_targeted_seed45_Conditional_NormalizingFlow_Risk_Generator,score_targeted_seed45_Conditional_TCN_Risk_Generator,score_targeted_seed45_Conditional_Transformer_Risk_Generator,score_targeted_seed45_Expanded_ValSelected_Model_Ensemble,score_targeted_seed45_Expanded_ValSelected_Model_Ensemble_Margin_0.05,score_targeted_seed45_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_targeted_seed45_RiskKNN_Bootstrap_Generator,score_targeted_seed45_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_targeted_seed45_TransformerVAE_Augmented_TailWeighted_Copula,score_targeted_seed46_Conditional_NormalizingFlow_Risk_Generator,score_targeted_seed46_Conditional_TCN_Risk_Generator,score_targeted_seed46_Conditional_Transformer_Risk_Generator,score_targeted_seed46_Expanded_ValSelected_Model_Ensemble,score_targeted_seed46_Expanded_ValSelected_Model_Ensemble_Margin_0.05,score_targeted_seed46_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_targeted_seed46_RiskKNN_Bootstrap_Generator,score_targeted_seed46_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_targeted_seed46_TransformerVAE_Augmented_TailWeighted_Copula,score_targeted_seed47_Conditional_NormalizingFlow_Risk_Generator,score_targeted_seed47_Conditional_TCN_Risk_Generator,score_targeted_seed47_Conditional_Transformer_Risk_Generator,score_targeted_seed47_Expanded_ValSelected_Model_Ensemble,score_targeted_seed47_Expanded_ValSelected_Model_Ensemble_Margin_0.05,score_targeted_seed47_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_targeted_seed47_RiskKNN_Bootstrap_Generator,score_targeted_seed47_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_targeted_seed47_TransformerVAE_Augmented_TailWeighted_Copula
0,targeted_seed46_TransformerVAE_Augmented_TailWeighted_Copula,0.14884748165359776,26.2368032282049,7.214057098735458,8.474754853682084,15.0,0.4212893458656742,0.3364855946154986,2.1101719415789963,6.060935891366678,3.6970216544711865,0.26461388690396664,0.4822010058794633,0.7739452985165415,0.6711249328593775,0.413259546825738,0.43885668327201066,0.413259546825738,0.413259546825738,0.413259546825738,0.413259546825738,0.3416243131835188,0.6693136261262638,0.3906812575158787,0.8305517893661195,0.8305517893661195,0.6711249328593775,0.5790946261101261,0.3913541338919627,0.8305517893661195,0.515634515346455,0.5359760517449862,0.6267606217298326,0.5044631578503349,0.5044631578503349,0.6711249328593775,0.44972691955995275,0.5044631578503349,0.14884748165359776,0.4444856010225808,0.7510806809460417,0.4129638142925167,0.8622239605233011,0.8622239605233011,0.6711249328593775,0.473911064761487,0.8622239605233011,0.41086899562631835
1,targeted_seed47_Expanded_ValSelected_Model_Ensemble,0.05526570763609918,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.46360591432889314,0.509099017814999,0.16577635052767217,1.227051998007469,0.49470410104602475,0.1602809164328419,0.34731088659455445,0.25271706622122775,0.1653810862621059,0.22802654223308388,0.4047304109473724,0.22802654223308388,0.22802654223308388,0.22802654223308388,0.22802654223308388,0.3721715708349595,0.19387380150689293,0.17492840092982892,0.15481514168383392,0.15481514168383392,0.1653810862621059,0.11155195302660127,0.1860072656498417,0.15481514168383392,0.8614900362626088,0.3170953622066052,0.29484363242532996,0.1035159290435882,0.1035159290435882,0.1653810862621059,0.08507991191347662,0.1035159290435882,0.15125987523045614,0.27784239058420074,0.4560986283697612,0.3159063989560501,0.05526570763609918,0.05526570763609918,0.1653810862621059,0.0618357356744912,0.05526570763609918,0.09664160210416851
2,targeted_seed45_Conditional_Transformer_Risk_Generator,0.039363483920580304,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.2689613771400635,0.5453035989095932,0.1631082447729087,0.8712121678113646,0.3318523369296513,0.32260999507277127,0.27453959781587767,0.1519009333283263,0.2420092920404831,0.22487794193916183,0.17574824780771006,0.22487794193916183,0.22487794193916183,0.22487794193916183,0.22487794193916183,0.315144791930162,0.1978776248205107,0.039363483920580304,0.19904771254910833,0.19904771254910833,0.2420092920404831,0.221409826040592,0.15738090621784234,0.19904771254910833,0.42081570190572704,0.18552836255071062,0.29643583117896327,0.1594627301547729,0.1594627301547729,0.2420092920404831,0.22610255181991112,0.1594627301547729,0.23912530198243265,0.5773507467053779,0.2127300916668264,0.4630392005112903,0.21095336621710398,0.21095336621710398,0.2420092920404831,0.2019669581993941,0.21095336621710398,0.16527675901048478
3,targeted_seed46_RiskKNN_Bootstrap_Generator,0.07624004032276155,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.24192057016341306,0.46351310838764104,0.4818027460856318,1.4617588608231593,0.34332055456041405,0.21741329164219797,0.24619108394578648,0.19746467298551007,0.20728306148515424,0.14437116021267787,0.1321082543332153,0.14437116021267787,0.14437116021267787,0.14437116021267787,0.14437116021267787,0.16849079033435263,0.15230596173591476,0.38146143916357766,0.24598831458936393,0.24598831458936393,0.20728306148515424,0.08945994784214918,0.15033321567525593,0.24598831458936393,0.6242061679510883,0.41268005246291384,0.13215167510564446,0.1773404283589386,0.1773404283589386,0.20728306148515424,0.07624004032276155,0.1773404283589386,0.24376867221520263,0.2550893336257361,0.20299643646047855,0.34642869511668495,0.17025715574899405,0.17025715574899405,0.20728306148515424,0.09777332515221526,0.17025715574899405,0.21592902123500857
4,targeted_seed45_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.11392462156484125,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.22877013243509786,0.354581224171826,0.28623042448289754,1.232350279245727,0.4399581837213403,0.3055715840263638,0.34456175124759886,0.40193851467299796,0.19395169726448996,0.1665368553736043,0.12339054964290085,0.1665368553736043,0.1665368553736043,0.1665368553736043,0.1665368553736043,0.2613737994364246,0.28765692339525767,0.15635665708261942,0.24717405038605803,0.24717405038605803,0.19395169726448996,0.23837426556028307,0.11392462156484125,0.24717405038605803,0.1896314633833281,0.15247878022867156,0.4041813332891175,0.1323527288703313,0.1323527288703313,0.19395169726448996,0.22574105708091707,0.1323527288703313,0.2669252793290497,0.4653712823571604,0.12921352692107863,0.1273060134675906,0.1710527135822743,0.1710527135822743,0.19395169726448996,0.24442024385033484,0.1710527135822743,0.1938835432618953
5,targeted_seed45_Conditional_NormalizingFlow_Risk_Generator,0.09044254355647974,47.330928802490234,19.516892433166504,8.594188690185547,11.0,0.14309960046548642,0.2942185679190966,0.8127947962193225,0.4667660907539899,0.3517246557204953,0.2354229225372153,0.49087185931820937,0.28335520963838196,0.5026244587661992,0.204054032694281,0.17873335738126878,0.204054032694281,0.204054032694281,0.204054032694281,0.204054032694281,0.09044254355647974,0.25502192493218817,0.14742529486049347,0.19939547077665848,0.19939547077665848,0.5026244587661992,0.1843470062085227,0.2581835500490863,0.19939547077665848,0.37131840839163516,0.2761820297897153,0.14657308045437564,0.3728573348788443,0.3728573348788443,0.5026244587661992,0.24092547723245572,0.3728573348788443,0.2660645056139244,0.2721824889001543,0.6625065425345487,0.1433495233873398,0.2230856963624722,0.2230856963624722,0.5026244587661992,0.22716447321968203,0.2230856963624722,0.3186879537561641
6,targeted_seed46_Expanded_ValSelected_Model_Ensemble,0.6504659527081261,47.330928802490234,19.516892433166504,8.594188690185547,11.0,0.9468803981090254,1.0949384365163308,0.8088327450979064,2.605734652904668,0.7359848129143445,0.9195701693588132,0.7134831524066151,0.8162601735905476,0.7696050218487589,0.6997067066218637,0.7964035707029221,0.6997067066218637,0.6997067066218637,0.6997067066218637,0.6997067066218637,0.743578829316877,0.7776999971256262,0.7617043203897101,0.8103713264381247,0.8103713264381247,0.7696050218487589,0.89275161350006,0.9800806041789144,0.8103713264381247,0.7791960767266918,0.8127980079163019,0.7018393850690638,0.6504659527081261,0.6504659527081261,0.7696050218487589,0.8224026786373326,0.6504659527081261,0.8052443883473976,0.6973330759498847,0.7144498920054726,0.7156836096677573,0.7809149919119659,0.7809149919119659,0.7696050218487589,0.7140272909504142,0.7809149919119659,0.8475429190480073
7,targeted_seed46_Conditional_NormalizingFlow_Risk_Generator,0.6240966155808797,47.330928802490234,19.516892433166504,8.594188690185547,11.0,0.7889459760354809,1.4855231742735244,1.1534155040420873,1.04656885221642,1.1286646297536902,0.874363000198332,0.8491936501288607,0.7964477841047478,0.7228189168335502,0.7503676329126137,0.9354100704961024,0.7503676329126137,0.7503676329126137,0.7503676329126137,0.7503676329126137,0.9478781202926088,0.7348648160479051,0.7178022335788153,0.8229244594239051,0.8229244594239051,0.7228189168335502,0.926018772871062,0.8323511842862328,0.8229244594239051,0.6240966155808797,0.8383211040562313,0.9469565045726157,0.7678722651660272,0.7678722651660272,0.7228189168335502,0.725339632227446,0.7678722651660272,0.7894223016048417,0.886074726517685,0.9162803503653192,0.9901461821982696,0.8734402415872392,0.8734402415872392,0.7228189168335502,0.9537081544012028,0.8734402415872392,0.8442162270136544
8,DurationAware_RiskFirst_TCN_Empirical,0.3053320905053817,48.50658468766646,19.93110318617387,8.647556565024637,11.227272727272727,0.3053320905053817,0.6321973178769685,0.5254833719116304,0.7178770143650898,1.1536731158097515,0.5274519429444563,0.7443032779399713,0.8679906788581767,0.7965957973262853,0.8432940549024541,1.030144437424066,0.8432940549024541,0.8432940549024541,0.8432940549024541,0.8432940549024541,0.6753038415663887,0.5219343393891414,0.7900790376883633,0.8339244613508408,0.8339244613508408,0.7965957973262853,0.7038973609839031,0.9226216709847996,0.8339244613508408,0.9377653607209782,0.634122758661031,0.9992493788710888,0.8310007681024814,0.8310007681024814,0.7965957973262853,0.7524631652267788,0.8310007681024814,0.8070639757453466,0.7529207165957479,0.45347380210959465,0.8132717045561054,0.8954884324276191,0.8954884324276191,0.7965957973262853,0.730260263814025,0.8954884324276191,0.8112880593226445
9,targeted_seed46_RiskKNN_Bootstrap_Generator,0.05539717812667022,50.7606406211853,26.04049015045166,8.443650245666504,13.0,0.7364178247341641,0.9627828485813938,0.952601425453364,0.8731904352286124,0.5507251375243214,0.22640929859422004,0.38100661074872216,0.43228067966336226,0.2628778784116675,0.25048590354483957,0.46171596693070605,0.25048590354483957,0.25048590354483957,0.25048590354483957,0.25048590354483957,0.5758568869369887,0.18457991920037417,0.6153814220951933,0.3728559034209117,0.3728559034209117,0.2628778784116675,0.14541892501323347,0.11862601169756579,0.3728559034209117,1.3284339285614553,0.18697039944335417,0.37266825510808527,0.8142676707495901,0.8142676707495901,0.2628778784116675,0.05539717812667022,0.8142676707495901,0.3328047129156033,0.5529738306035014,0.2200436322505223,0.4966449620260841,0.44291663674589477,0.44291663674589477,0.2628778784116675,0.34124759802463733,0.44291663674589477,0.42926171792430623
