sample_index,selected_method,selected_score,target_cum,target_core,target_ramp,target_duration,score_DurationAware_RiskFirst_TCN_Empirical,score_RiskFirst_TCN_Empirical
0,RiskFirst_TCN_Empirical,0.24655398972659492,26.2368032282049,7.214057098735458,8.474754853682084,15.0,0.4377996980785217,0.24655398972659492
1,RiskFirst_TCN_Empirical,0.5064261673529593,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.5668381054856292,0.5064261673529593
2,DurationAware_RiskFirst_TCN_Empirical,0.3433646429353686,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.3433646429353686,0.5018470665991945
3,DurationAware_RiskFirst_TCN_Empirical,0.3414165795990891,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.3414165795990891,0.47386076557383416
4,RiskFirst_TCN_Empirical,0.2877568381765233,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.3104882488641217,0.2877568381765233
5,RiskFirst_TCN_Empirical,0.17910258919857905,47.330928802490234,19.516892433166504,8.594188690185547,11.0,0.19731916616164713,0.17910258919857905
6,DurationAware_RiskFirst_TCN_Empirical,0.9145654636586882,47.330928802490234,19.516892433166504,8.594188690185547,11.0,0.9145654636586882,1.0471643180082122
7,DurationAware_RiskFirst_TCN_Empirical,0.7443880270417856,47.330928802490234,19.516892433166504,8.594188690185547,11.0,0.7443880270417856,1.2358112289470233
8,DurationAware_RiskFirst_TCN_Empirical,0.20873356735143994,48.50658468766646,19.93110318617387,8.647556565024637,11.227272727272727,0.20873356735143994,0.5291584500607964
9,DurationAware_RiskFirst_TCN_Empirical,0.8974622932330162,50.7606406211853,26.04049015045166,8.443650245666504,13.0,0.8974622932330162,1.0159048405037672
10,RiskFirst_TCN_Empirical,0.18939256382936354,48.32187080383301,22.034847259521484,8.202948570251465,12.5,0.33364585286617093,0.18939256382936354
11,RiskFirst_TCN_Empirical,0.41603264375784316,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.49758190703696464,0.41603264375784316
12,RiskFirst_TCN_Empirical,0.5287124126433608,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.5455568304809414,0.5287124126433608
13,DurationAware_RiskFirst_TCN_Empirical,0.17375855415333843,47.330928802490234,19.516892433166504,8.594188690185547,11.0,0.17375855415333843,0.27008273691117296
14,RiskFirst_TCN_Empirical,0.4394077683510772,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.5006825691722363,0.4394077683510772
15,RiskFirst_TCN_Empirical,0.15307977645864884,13.601393526250662,2.183461969549005,6.405566042119807,9.0,0.4665097304145156,0.15307977645864884
16,RiskFirst_TCN_Empirical,1.4511277981190205,35.8451009013436,11.639875455336137,8.259337175976146,16.0,1.6737502362199845,1.4511277981190205
17,DurationAware_RiskFirst_TCN_Empirical,0.09475048931678062,12.317733764648438,2.1877269744873047,4.523502349853516,10.0,0.09475048931678062,0.1728285662399647
18,DurationAware_RiskFirst_TCN_Empirical,0.8005023422545848,20.944601492448285,6.604471044106916,6.539106098088351,12.0,0.8005023422545848,0.9906815060922647
19,RiskFirst_TCN_Empirical,0.4137135103857774,22.103684685447,9.475738270716237,8.001454960216178,15.01136363636364,0.6725338972274176,0.4137135103857774
20,DurationAware_RiskFirst_TCN_Empirical,1.3086544659644548,47.59859486059708,12.82247985493053,8.649096022952685,19.28977272727272,1.3086544659644548,1.3998953543469363
21,DurationAware_RiskFirst_TCN_Empirical,1.2294030773773919,63.03106606006622,16.03766231238842,9.265145987272263,24.625,1.2294030773773919,1.465709857244702
22,DurationAware_RiskFirst_TCN_Empirical,0.5013198160840734,12.363115500320088,2.2029361941597676,5.9859789555723015,9.0,0.5013198160840734,0.5965026865947815
23,DurationAware_RiskFirst_TCN_Empirical,1.4077065604301024,50.12891856106844,13.40313259038058,8.753580917011607,20.43181818181818,1.4077065604301024,1.4455251149939221
24,DurationAware_RiskFirst_TCN_Empirical,0.503663171376399,11.406865119934082,1.5831325054168701,5.683885097503662,9.0,0.503663171376399,0.5199570799529103
25,DurationAware_RiskFirst_TCN_Empirical,0.5046515979692362,11.406865119934082,1.5831325054168701,5.683885097503662,9.0,0.5046515979692362,0.5383108731384725
26,DurationAware_RiskFirst_TCN_Empirical,1.2486281739632012,32.85168496045197,11.228255277330222,8.202719634229487,16.0,1.2486281739632012,1.332147637499083
