sample_index,selected_method,selected_score,target_cum,target_core,target_ramp,target_duration,score_DurationAware_RiskFirst_TCN_Empirical,score_RiskFirst_TCN_Empirical
0,RiskFirst_TCN_Empirical,0.22766878532710735,26.2368032282049,7.214057098735458,8.474754853682084,15.0,0.485548114671289,0.22766878532710735
1,DurationAware_RiskFirst_TCN_Empirical,0.453462504767415,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.453462504767415,0.49011059189350015
2,DurationAware_RiskFirst_TCN_Empirical,0.28690146088428514,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.28690146088428514,0.47927951283191905
3,DurationAware_RiskFirst_TCN_Empirical,0.2391024398126224,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.2391024398126224,0.41678168430588713
4,DurationAware_RiskFirst_TCN_Empirical,0.214797707029644,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.214797707029644,0.3026954792173903
5,DurationAware_RiskFirst_TCN_Empirical,0.15651851991796314,47.330928802490234,19.516892433166504,8.594188690185547,11.0,0.15651851991796314,0.16927515178313524
6,RiskFirst_TCN_Empirical,0.826083778603159,47.330928802490234,19.516892433166504,8.594188690185547,11.0,0.8422940819204854,0.826083778603159
7,DurationAware_RiskFirst_TCN_Empirical,0.5988100293914465,47.330928802490234,19.516892433166504,8.594188690185547,11.0,0.5988100293914465,1.051425654455977
8,DurationAware_RiskFirst_TCN_Empirical,0.1929028489541192,48.50658468766646,19.93110318617387,8.647556565024637,11.227272727272727,0.1929028489541192,0.4630409610567048
9,DurationAware_RiskFirst_TCN_Empirical,0.7309967013474921,50.7606406211853,26.04049015045166,8.443650245666504,13.0,0.7309967013474921,0.9001685658180799
10,RiskFirst_TCN_Empirical,0.19816258153118763,48.32187080383301,22.034847259521484,8.202948570251465,12.5,0.4193652802804213,0.19816258153118763
11,RiskFirst_TCN_Empirical,0.39377425778160835,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.41484027908871013,0.39377425778160835
12,DurationAware_RiskFirst_TCN_Empirical,0.4416540723767931,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.4416540723767931,0.5164355010881002
13,DurationAware_RiskFirst_TCN_Empirical,0.16443491594023585,47.330928802490234,19.516892433166504,8.594188690185547,11.0,0.16443491594023585,0.28108098033727225
14,RiskFirst_TCN_Empirical,0.36772236881796544,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.4134799560269174,0.36772236881796544
15,RiskFirst_TCN_Empirical,0.1369101002987379,13.601393526250662,2.183461969549005,6.405566042119807,9.0,0.4016794592348849,0.1369101002987379
16,RiskFirst_TCN_Empirical,1.2986648765497808,35.8451009013436,11.639875455336137,8.259337175976146,16.0,1.5307086315829264,1.2986648765497808
17,DurationAware_RiskFirst_TCN_Empirical,0.11778755584199606,12.317733764648438,2.1877269744873047,4.523502349853516,10.0,0.11778755584199606,0.20072546469263944
18,DurationAware_RiskFirst_TCN_Empirical,0.6809386426981237,20.944601492448285,6.604471044106916,6.539106098088351,12.0,0.6809386426981237,0.8909399637797567
19,RiskFirst_TCN_Empirical,0.4544142894962416,22.103684685447,9.475738270716237,8.001454960216178,15.01136363636364,0.7631264052704475,0.4544142894962416
20,DurationAware_RiskFirst_TCN_Empirical,1.0489293009776524,47.59859486059708,12.82247985493053,8.649096022952685,19.28977272727272,1.0489293009776524,1.1325892533012636
21,DurationAware_RiskFirst_TCN_Empirical,0.9879969631361941,63.03106606006622,16.03766231238842,9.265145987272263,24.625,0.9879969631361941,1.2454567280837068
22,DurationAware_RiskFirst_TCN_Empirical,0.40608164540901037,12.363115500320088,2.2029361941597676,5.9859789555723015,9.0,0.40608164540901037,0.5152490709272876
23,DurationAware_RiskFirst_TCN_Empirical,1.1438063234937905,50.12891856106844,13.40313259038058,8.753580917011607,20.43181818181818,1.1438063234937905,1.2297446121505289
24,DurationAware_RiskFirst_TCN_Empirical,0.41353687055173527,11.406865119934082,1.5831325054168701,5.683885097503662,9.0,0.41353687055173527,0.4539790691529002
25,DurationAware_RiskFirst_TCN_Empirical,0.4212129368777762,11.406865119934082,1.5831325054168701,5.683885097503662,9.0,0.4212129368777762,0.45032376530157536
26,DurationAware_RiskFirst_TCN_Empirical,1.1782822221424498,32.85168496045197,11.228255277330222,8.202719634229487,16.0,1.1782822221424498,1.2311465321760964
