sample_index,selected_method,selected_score,initial_local_score,global_objective
0,RiskFirst_TCN_Empirical,0.23352405895608028,0.23352405895608028,0.05235152682396699
1,extreme_conditioned_gaussian_copula,0.17202698563650626,0.1690295953719329,0.05235152682396699
2,ganfix_Conditional_Transformer_Risk_Generator,0.18884709295752317,0.14066025920299172,0.05235152682396699
3,ganfix_Conditional_Transformer_Risk_Generator,0.2098399031043953,0.14263645575188963,0.05235152682396699
4,ganfix_TransformerVAE_Augmented_TailWeighted_Copula,0.11457728971916772,0.11457728971916772,0.05235152682396699
5,DurationAware_RiskFirst_TCN_Empirical,0.17427770175956506,0.13045396088098116,0.05235152682396699
6,enhanced_gan,0.7204281491750005,0.7204281491750005,0.05235152682396699
7,ganfix_Conditional_Transformer_Risk_Generator,0.7806983681160803,0.6474306055939183,0.05235152682396699
8,extreme_conditioned_gaussian_copula,0.383389927760044,0.19757577535981913,0.05235152682396699
9,DurationAware_RiskFirst_TCN_Empirical,0.7861589726905227,0.2387912658566762,0.05235152682396699
10,ganfix_TransformerVAE_Augmented_TailWeighted_Copula,0.4251825825518958,0.19523879328354535,0.05235152682396699
11,ganfix_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.1681069153187862,0.1681069153187862,0.05235152682396699
12,ganfix_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.1654952216108207,0.14720454571159777,0.05235152682396699
13,DurationAware_RiskFirst_TCN_Empirical,0.16976293494195807,0.16976293494195807,0.05235152682396699
14,ganfix_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.1035268193254723,0.1035268193254723,0.05235152682396699
15,RiskFirst_TCN_Empirical,0.13941840324610963,0.13941840324610963,0.05235152682396699
16,enhanced_gan,0.6464335509351642,0.6464335509351642,0.05235152682396699
17,DurationAware_RiskFirst_TCN_Empirical,0.10936421457105229,0.10936421457105229,0.05235152682396699
18,DurationAware_RiskFirst_TCN_Empirical,0.7174525817649624,0.7174525817649624,0.05235152682396699
19,RiskFirst_TCN_Empirical,0.46087493355716047,0.46087493355716047,0.05235152682396699
20,ganfix_Conditional_NormalizingFlow_Risk_Generator,0.603545385932595,0.603545385932595,0.05235152682396699
21,DurationAware_RiskFirst_TCN_Empirical,1.0620512430706,0.9441564421135593,0.05235152682396699
22,DurationAware_RiskFirst_TCN_Empirical,0.4360405901967872,0.4360405901967872,0.05235152682396699
23,ganfix_Conditional_Transformer_Risk_Generator,0.8564441962932079,0.8564441962932079,0.05235152682396699
24,DurationAware_RiskFirst_TCN_Empirical,0.44199116562272445,0.44199116562272445,0.05235152682396699
25,DurationAware_RiskFirst_TCN_Empirical,0.4520969195177704,0.4520969195177704,0.05235152682396699
26,ganfix_Conditional_NormalizingFlow_Risk_Generator,1.0777496749693556,1.0777496749693556,0.05235152682396699
