sample_index,selected_method,selected_score,initial_local_score,global_objective
0,RiskFirst_TCN_Empirical,0.23352405895608028,0.23352405895608028,0.4783949761861088
1,DurationAware_RiskFirst_TCN_Empirical,0.4847290548491505,0.4847290548491505,0.4783949761861088
2,RiskFirst_TCN_Empirical,0.4935128358617724,0.3091169555555938,0.4783949761861088
3,DurationAware_RiskFirst_TCN_Empirical,0.27440578569831486,0.27440578569831486,0.4783949761861088
4,DurationAware_RiskFirst_TCN_Empirical,0.24809039351893308,0.24809039351893308,0.4783949761861088
5,DurationAware_RiskFirst_TCN_Empirical,0.17427770175956506,0.17427770175956506,0.4783949761861088
6,DurationAware_RiskFirst_TCN_Empirical,0.8665874364564368,0.8665874364564368,0.4783949761861088
7,DurationAware_RiskFirst_TCN_Empirical,0.6474306055939183,0.6474306055939183,0.4783949761861088
8,DurationAware_RiskFirst_TCN_Empirical,0.19757577535981913,0.19757577535981913,0.4783949761861088
9,DurationAware_RiskFirst_TCN_Empirical,0.7861589726905227,0.7861589726905227,0.4783949761861088
10,RiskFirst_TCN_Empirical,0.19523879328354535,0.19523879328354535,0.4783949761861088
11,RiskFirst_TCN_Empirical,0.39376182816984706,0.39376182816984706,0.4783949761861088
12,DurationAware_RiskFirst_TCN_Empirical,0.47095967806315453,0.47095967806315453,0.4783949761861088
13,DurationAware_RiskFirst_TCN_Empirical,0.16976293494195807,0.16976293494195807,0.4783949761861088
14,RiskFirst_TCN_Empirical,0.3857485298422447,0.3857485298422447,0.4783949761861088
15,RiskFirst_TCN_Empirical,0.13941840324610963,0.13941840324610963,0.4783949761861088
16,RiskFirst_TCN_Empirical,1.3238147259412403,1.3238147259412403,0.4783949761861088
17,DurationAware_RiskFirst_TCN_Empirical,0.10936421457105229,0.10936421457105229,0.4783949761861088
18,DurationAware_RiskFirst_TCN_Empirical,0.7174525817649624,0.7174525817649624,0.4783949761861088
19,RiskFirst_TCN_Empirical,0.46087493355716047,0.46087493355716047,0.4783949761861088
20,DurationAware_RiskFirst_TCN_Empirical,1.1263069307474,1.1263069307474,0.4783949761861088
21,DurationAware_RiskFirst_TCN_Empirical,1.0620512430706,1.0620512430706,0.4783949761861088
22,DurationAware_RiskFirst_TCN_Empirical,0.4360405901967872,0.4360405901967872,0.4783949761861088
23,DurationAware_RiskFirst_TCN_Empirical,1.2432260022246004,1.2432260022246004,0.4783949761861088
24,DurationAware_RiskFirst_TCN_Empirical,0.44199116562272445,0.44199116562272445,0.4783949761861088
25,DurationAware_RiskFirst_TCN_Empirical,0.4520969195177704,0.4520969195177704,0.4783949761861088
26,DurationAware_RiskFirst_TCN_Empirical,1.1910061384974413,1.1910061384974413,0.4783949761861088
