sample_index,selected_method,selected_score,target_cum,target_core,target_ramp,target_duration,score_DurationAware_RiskFirst_TCN_Empirical,score_RiskFirst_TCN_Empirical,score_extreme_conditioned_gaussian_copula,score_traditional_gaussian_copula,score_enhanced_gan,score_ordinary_conditional_tcn,score_ganfix_Conditional_NormalizingFlow_Risk_Generator,score_ganfix_Conditional_Transformer_Risk_Generator,score_ganfix_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_ganfix_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_ganfix_TransformerVAE_Augmented_TailWeighted_Copula,score_ganfix_ValSelected_Model_Ensemble,score_ganfix_ValSelected_Model_Ensemble_Margin_0.00,score_ganfix_ValSelected_Model_Ensemble_Margin_0.05,score_ganfix_ValSelected_Model_Ensemble_Margin_0.10,score_targeted_seed45_Conditional_NormalizingFlow_Risk_Generator,score_targeted_seed45_Conditional_TCN_Risk_Generator,score_targeted_seed45_Conditional_Transformer_Risk_Generator,score_targeted_seed45_Expanded_ValSelected_Model_Ensemble,score_targeted_seed45_Expanded_ValSelected_Model_Ensemble_Margin_0.05,score_targeted_seed45_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_targeted_seed45_RiskKNN_Bootstrap_Generator,score_targeted_seed45_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_targeted_seed45_TransformerVAE_Augmented_TailWeighted_Copula,score_targeted_seed46_Conditional_NormalizingFlow_Risk_Generator,score_targeted_seed46_Conditional_TCN_Risk_Generator,score_targeted_seed46_Conditional_Transformer_Risk_Generator,score_targeted_seed46_Expanded_ValSelected_Model_Ensemble,score_targeted_seed46_Expanded_ValSelected_Model_Ensemble_Margin_0.05,score_targeted_seed46_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_targeted_seed46_RiskKNN_Bootstrap_Generator,score_targeted_seed46_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_targeted_seed46_TransformerVAE_Augmented_TailWeighted_Copula,score_targeted_seed47_Conditional_NormalizingFlow_Risk_Generator,score_targeted_seed47_Conditional_TCN_Risk_Generator,score_targeted_seed47_Conditional_Transformer_Risk_Generator,score_targeted_seed47_Expanded_ValSelected_Model_Ensemble,score_targeted_seed47_Expanded_ValSelected_Model_Ensemble_Margin_0.05,score_targeted_seed47_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_targeted_seed47_RiskKNN_Bootstrap_Generator,score_targeted_seed47_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_targeted_seed47_TransformerVAE_Augmented_TailWeighted_Copula
0,targeted_seed45_RiskKNN_Bootstrap_Generator,0.0759445368928534,9.775089263916016,2.410369873046875,3.9756717681884766,8.0,0.16174550141672195,0.1949391978137295,0.0787281578917215,0.36076114546965266,0.1579774322477781,0.17029438066851416,0.19760281083232978,0.27319701179161066,0.2201322695948688,0.2341068304079524,0.23454154025607982,0.27319701179161066,0.27319701179161066,0.27319701179161066,0.27319701179161066,0.2520491833376265,0.22107861146534907,0.29230299618203304,0.08530281528817353,0.08530281528817353,0.2201322695948688,0.0759445368928534,0.08530281528817353,0.1598151294116953,0.140074728947163,0.3269582048768057,0.13316208358745926,0.140074728947163,0.140074728947163,0.2201322695948688,0.0885776267418555,0.11263003596431509,0.24228897217737208,0.1291487255987447,0.22511019261254608,0.2630790164136133,0.2630790164136133,0.2630790164136133,0.2201322695948688,0.0823899414178698,0.3188856875096615,0.33851741507358135
1,DurationAware_RiskFirst_TCN_Empirical,0.006621335738435636,27.163557052612305,12.789454460144043,4.5038957595825195,11.0,0.006621335738435636,0.2860244995297403,0.46550280505525793,0.4016621552940449,0.8434050076188823,0.35946580440091913,0.30349104579505787,0.11282633357751412,0.11476588582484606,0.3954118982697866,0.18950898856358236,0.11282633357751412,0.11282633357751412,0.11282633357751412,0.11282633357751412,0.1660675853102212,0.829541950468995,0.40180918499282103,0.21729952973317718,0.21729952973317718,0.11476588582484606,0.7213866564428917,0.21729952973317718,0.4680506981278288,0.36927044742286785,0.31157242392038,0.22100088102438858,0.36927044742286785,0.36927044742286785,0.11476588582484606,0.2908352663034573,0.29052086126150733,0.2190285507727303,0.2712230348382959,0.1890416194885525,0.7789487100651762,0.7789487100651762,0.7789487100651762,0.11476588582484606,0.331689591990799,0.39596302196040484,0.22645821564380686
2,ganfix_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.09765276999871744,21.93396759033203,8.937949180603027,4.589417934417725,9.5,0.26805662084448056,0.5176065308595231,0.2216700768933128,0.4480815060639814,1.038482530629695,0.29516472707103947,0.6144948607857532,0.1660187438173169,0.09765276999871744,0.2595437941695301,0.1572196321800134,0.1660187438173169,0.1660187438173169,0.1660187438173169,0.1660187438173169,0.2091641026519544,0.2308520197112423,0.215446016158746,0.16830575136047077,0.16830575136047077,0.09765276999871744,0.18680726325636562,0.16830575136047077,0.2828718009750464,0.5487423943426798,0.19038088275468396,0.24821832029271534,0.5487423943426798,0.5487423943426798,0.09765276999871744,0.3737331602127996,0.23574134071601915,0.2687872861203055,0.4010009330104574,0.49650528878560435,0.2655887241194762,0.2655887241194762,0.2655887241194762,0.09765276999871744,0.24136979085362847,0.22614582054512733,0.14696541295668286
3,DurationAware_RiskFirst_TCN_Empirical,0.11223697224494877,21.93396759033203,8.937949180603027,4.589417934417725,9.5,0.11223697224494877,0.27867044025150545,0.23610355998365817,1.193296312491221,0.9538009620719412,0.288525931749519,0.2247121470245244,0.14150281878321713,0.15969900893333167,0.2669797990988731,0.2548097257307036,0.14150281878321713,0.14150281878321713,0.14150281878321713,0.14150281878321713,0.3381681738486239,0.25935979655409974,0.30601751522964843,0.21083025113317516,0.21083025113317516,0.15969900893333167,0.2159530543281351,0.21083025113317516,0.27100812074719466,0.3794268264767009,0.32781256974017503,0.15308336749087276,0.3794268264767009,0.3794268264767009,0.15969900893333167,0.18053908955839837,0.2868451633610835,0.1277535841488065,0.5123019557496588,0.31573011520870453,0.36468161615956235,0.36468161615956235,0.36468161615956235,0.15969900893333167,0.11533759363492488,0.284509931594406,0.3213199682231421
4,ordinary_conditional_tcn,0.10394620462387473,21.93396759033203,8.937949180603027,4.589417934417725,9.5,0.41751458626956445,0.5227552681261424,0.431630102851702,0.7097510809144261,0.8477414471276947,0.10394620462387473,0.37296276851640886,0.2878713538918081,0.2739993579002709,0.30122599509730946,0.15429782886899457,0.2878713538918081,0.2878713538918081,0.2878713538918081,0.2878713538918081,0.3693323885150339,0.3941016643559968,0.1443708521768289,0.3553888446382029,0.3553888446382029,0.2739993579002709,0.25530323726384324,0.3553888446382029,0.258689584652886,0.6892914900303484,0.24941597380467936,0.31192489123255757,0.6892914900303484,0.6892914900303484,0.2739993579002709,0.2376609074348316,0.24208262332925706,0.2975492028211287,0.4877669990916522,0.17708209260207883,0.43639174020787314,0.43639174020787314,0.43639174020787314,0.2739993579002709,0.22531233444937426,0.2700941966791578,0.23805984537905633
5,ganfix_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.09505014608212943,21.93396759033203,8.937949180603027,4.589417934417725,9.5,0.20636966920862163,0.3784900512593307,0.5179288254838105,0.7026279603845468,1.0038391556091117,0.4177655982797052,0.3425411895289836,0.3473358442518753,0.2860969449814911,0.09505014608212943,0.2655396204218968,0.3473358442518753,0.3473358442518753,0.3473358442518753,0.3473358442518753,0.38330528979223066,0.34302920465575243,0.5337035784496502,0.38061979612590163,0.38061979612590163,0.2860969449814911,0.24033160460488512,0.38061979612590163,0.4708981267574116,0.6664255324270987,0.4394587372537748,0.2750455893472944,0.6664255324270987,0.6664255324270987,0.2860969449814911,0.15590055946935777,0.21855636871746742,0.2961820091138766,0.49260627565705717,0.2347274834962153,0.3991516291694986,0.3991516291694986,0.3991516291694986,0.2860969449814911,0.15660779746544137,0.24752357007851117,0.4848729703390314
6,targeted_seed45_RiskKNN_Bootstrap_Generator,0.08859472106096344,21.93396759033203,8.937949180603027,4.589417934417725,9.5,0.16122118216747672,0.37224932884006734,0.701224781092771,0.9835725411135166,1.1711812334526648,0.16926005960585694,0.2453647828154858,0.10132395894607277,0.11234677381949856,0.1915436745220451,0.26298662758805064,0.10132395894607277,0.10132395894607277,0.10132395894607277,0.10132395894607277,0.492120459701465,0.5565737402354188,0.4222883381732142,0.2900321162174868,0.2900321162174868,0.11234677381949856,0.08859472106096344,0.2900321162174868,0.25549127799235793,0.6693370516127617,0.2703716816128343,0.09209226587758208,0.6693370516127617,0.6693370516127617,0.11234677381949856,0.08981765003587462,0.14481224879638604,0.23587160133285023,0.4669853918234546,0.3451052114094954,0.30238197510265713,0.30238197510265713,0.30238197510265713,0.11234677381949856,0.18736742123870603,0.37126167258053394,0.23878952818119353
7,targeted_seed46_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.11744877261299001,21.93396759033203,8.937949180603027,4.589417934417725,9.5,0.2640806153277573,0.4792758057252246,0.43800460530352847,1.2091633525986496,0.8813086225477673,0.21661392459040468,0.39898148476459777,0.20806859545185072,0.24817193289939238,0.3800761382171571,0.3058692838572381,0.20806859545185072,0.20806859545185072,0.20806859545185072,0.20806859545185072,0.19466529959859175,0.33046332732229217,0.20747063964301754,0.4492793167800604,0.4492793167800604,0.24817193289939238,0.23040992987928538,0.4492793167800604,0.3242929671810899,0.2874054506067543,0.3728067042002848,0.32254385149293696,0.2874054506067543,0.2874054506067543,0.24817193289939238,0.1967580365386853,0.11744877261299001,0.15960743350539272,0.49871410863471777,0.35144190293092725,0.2436909049560784,0.2436909049560784,0.2436909049560784,0.24817193289939238,0.27528117721605166,0.23616330855396644,0.15481729568645047
8,DurationAware_RiskFirst_TCN_Empirical,0.41095093950698064,28.767155170440674,13.343979835510254,4.678141951560974,11.1875,0.41095093950698064,1.0032579111852644,1.4154515575873015,1.3200894972743242,0.6481051679568266,0.6300400681858164,0.7150775535602673,0.8320972523298708,0.7723820070000125,0.8417878607985491,0.8982565404562193,0.8320972523298708,0.8320972523298708,0.8320972523298708,0.8320972523298708,0.7942802222197346,0.6761777059015595,0.657788815355868,0.5578892136912232,0.5578892136912232,0.7723820070000125,0.7060368715883436,0.5578892136912232,0.5541818528481534,0.6805603975219146,0.6993283810157013,0.8167815648539208,0.6805603975219146,0.6805603975219146,0.7723820070000125,0.6770457952423996,0.6294410193666528,0.7533922238602129,0.8194148546651113,0.686490968251427,0.8642871532524847,0.8642871532524847,0.8642871532524847,0.7723820070000125,0.7001932715896326,0.8897237992219903,0.6274389416391671
9,DurationAware_RiskFirst_TCN_Empirical,0.0995959578028603,27.163557052612305,12.789454460144043,4.5038957595825195,11.0,0.0995959578028603,0.2747176229940349,0.6672038678503941,1.0454468211403585,0.4488028865897741,0.39973673213818095,0.1437151412326492,0.17647343006828659,0.23971574986644145,0.4643500858695132,0.3922094178269345,0.17647343006828659,0.17647343006828659,0.17647343006828659,0.17647343006828659,0.4762919784388383,0.39626960387639887,0.3197533309813472,0.14333530594422667,0.14333530594422667,0.23971574986644145,0.4325618353498857,0.14333530594422667,0.13387230953221485,0.47367589880658234,0.5433076379854928,0.4040847565042905,0.47367589880658234,0.47367589880658234,0.23971574986644145,0.2514541533456536,0.23987342472111609,0.26571326069868595,0.4662293889464716,0.5131178546779568,0.4662625639666874,0.4662625639666874,0.4662625639666874,0.23971574986644145,0.2527045356357117,0.5363353952733627,0.3090651799195864
