dataset,method,q99_cum_deficit_error,core_q99_cum_deficit_error,netload_ramp_max_mae,imbalance_duration_mae,max_imbalance_run_mae,extreme_degree_match_rate,risk_score,risk_rank,generated_path,load_wasserstein,load_js,load_acf_mae,wind_power_wasserstein,wind_power_js,wind_power_acf_mae,solar_power_wasserstein,solar_power_js,solar_power_acf_mae,mean_wasserstein,mean_js,acf_mae,corr_matrix_error,cum_deficit_mae,cum_deficit_relative_error,q95_cum_deficit_error,netload_ramp_max_relative_error,q95_netload_ramp_max_error,q99_netload_ramp_max_error,imbalance_duration_relative_error,q95_imbalance_duration_error,q99_imbalance_duration_error,core_cum_deficit_mae,core_q95_cum_deficit_error,core_netload_ramp_max_mae,core_q95_netload_ramp_max_error,core_q99_netload_ramp_max_error,core_imbalance_duration_mae,core_q95_imbalance_duration_error,core_q99_imbalance_duration_error,extreme_degree_adjacent_match_rate,highrisk_wasserstein,highrisk_js,highrisk_acf_mae,highrisk_corr_matrix_error,highrisk_cum_deficit_mae,highrisk_q99_cum_deficit_error,highrisk_netload_ramp_max_mae,highrisk_imbalance_duration_mae,model_name,norm_q99_cum_deficit_error,norm_core_q99_cum_deficit_error,norm_netload_ramp_max_mae,norm_imbalance_duration_mae
muswellbrook,TargetSelected_val_calibrated_riskfirst_evt_pool_global_q99,0.2953130018012189,11.650046316355471,1.127602535523086,7.833333333333333,,0.5416666666666666,0.15080367688645,1,C:\Users\13411\MyPython\project\ExtremeScene\results\method_pool_risk_target_selection_expanded_fast\muswellbrook\generated_samples_TargetSelected_val_calibrated_riskfirst_evt_pool_global_q99.npy,0.41116478597676315,0.09701055288230727,0.08297587647128214,0.533876293261225,0.21237224931934442,0.18095357737519782,0.38936350679343246,0.1991241533956728,0.11489292298928745,0.44480152867714023,0.1695023185324415,0.12627412561192247,0.16548025468780395,22.940948782248267,0.0146761277468125,13.426716742616179,0.02965646456071903,0.06238741390407032,0.9916280215978617,0.026809651457280727,0.0,1.5399999999999991,9.322283593016815,13.184514546662836,0.9241205006837845,1.0719527721405027,1.4945478248596191,2.9583333333333335,1.8499999999999979,2.0,0.8333333333333334,,,,,,,,,TargetSelected_val_calibrated_riskfirst_evt_pool_global_q99,0.0032493711831081858,0.24127486040611817,0.09027343451677715,0.36585365853658536
muswellbrook,TargetSelected_val_calibrated_riskfirst_evt_pool_global_main,8.540321789405837,11.458815665189526,1.1419278593481674,7.125,,0.4583333333333333,0.1650340830676754,2,C:\Users\13411\MyPython\project\ExtremeScene\results\method_pool_risk_target_selection_expanded_fast\muswellbrook\generated_samples_TargetSelected_val_calibrated_riskfirst_evt_pool_global_main.npy,0.5127856896983254,0.09865943699429666,0.12259247466515007,0.6151706666720135,0.31153535088428763,0.1921833218910927,0.48548765926133686,0.31093899026643906,0.14071882760760207,0.5378146718772252,0.2403779260483411,0.15183154138794827,0.17564634994972128,21.91118420384484,0.10428329708578751,13.469803349548073,0.029616510460945558,0.4176740888506183,1.0999308332800863,0.029490616603008755,0.30000000000000426,1.5399999999999991,8.516819568648426,13.627209995716477,0.95210300385952,0.9675822019577027,1.4663063764572137,2.75,1.8499999999999979,2.0,0.875,,,,,,,,,TargetSelected_val_calibrated_riskfirst_evt_pool_global_main,0.14549923359248557,0.2339515646813537,0.10967342312258221,0.15853658536585374
muswellbrook,TargetSelected_val_calibrated_rf_duration_pool_global_main,8.540321789405837,11.458815665189526,1.158066203109532,7.041666666666667,,0.4583333333333333,0.1668393616272572,3,C:\Users\13411\MyPython\project\ExtremeScene\results\method_pool_risk_target_selection_expanded_fast\muswellbrook\generated_samples_TargetSelected_val_calibrated_rf_duration_pool_global_main.npy,0.5152177578873105,0.09979990890473239,0.12810854957747955,0.6365336902025676,0.32891733498207787,0.1985914697522999,0.5038266627970425,0.3315108116162476,0.14384580581421885,0.5518593702956401,0.2534093518343526,0.15684860838133277,0.19789529280759421,21.86560451118034,0.10311444360964324,13.469803349548073,0.025714901228810545,0.4176740888506183,1.0999308332800863,0.03485254689446481,0.30000000000000426,1.5399999999999991,8.518020959868519,13.627209995716477,0.9623184154431025,0.9675822019577027,1.4663063764572137,2.75,1.8499999999999979,2.0,0.875,,,,,,,,,TargetSelected_val_calibrated_rf_duration_pool_global_main,0.14549923359248557,0.2339515646813537,0.13152868370237286,0.1341463414634148
muswellbrook,TargetSelected_empirical_rf_duration_pool_global_main,6.114155420200518,15.347023007921187,1.106929767789552,6.708333333333333,,0.4583333333333333,0.16700531577939182,4,C:\Users\13411\MyPython\project\ExtremeScene\results\method_pool_risk_target_selection_expanded_fast\muswellbrook\generated_samples_TargetSelected_empirical_rf_duration_pool_global_main.npy,0.5252734753820631,0.098603076587604,0.09666221661993364,0.6433824126229244,0.3403665603207871,0.19975982165312056,0.4995463691607424,0.32329404844874376,0.11910086614081346,0.5560674190552434,0.25408789511904495,0.13850763480462255,0.17953194940831496,19.99246197206236,0.08367242703520371,4.125859530028677,0.011612399297882981,0.4738088313490154,1.1151202341914175,0.06702412864320159,4.699999999999992,5.0,8.884267522939897,13.672462507566696,0.9294961343208948,0.9675822019577027,1.4663063764572137,2.7083333333333335,1.8499999999999979,0.46000000000000085,0.875,,,,,,,,,TargetSelected_empirical_rf_duration_pool_global_main,0.10364096017007701,0.38285286285930686,0.062277455970111445,0.036585365853658534
muswellbrook,TargetSelected_empirical_riskfirst_evt_pool_paper_weights,6.114155420200518,15.256828394512198,1.0652986927016173,7.125,,0.5,0.17016711932558704,5,C:\Users\13411\MyPython\project\ExtremeScene\results\method_pool_risk_target_selection_expanded_fast\muswellbrook\generated_samples_TargetSelected_empirical_riskfirst_evt_pool_paper_weights.npy,0.4634386129953243,0.09132728907665683,0.0476371189681298,0.5808351096628166,0.26674980196907233,0.1997093011633869,0.3959041652093658,0.20699316275951735,0.06412547546019527,0.4800592959558356,0.18835675126841553,0.10382396519723731,0.1346740073179405,20.926900062668565,0.07149545329240814,3.241108437632761,0.017806180661433114,0.4437113795429468,0.6787274232506748,0.02412868631155259,4.699999999999992,5.0,9.305234326443044,12.87303586035964,0.7736203223466873,0.8425011634826656,0.28063929557800327,2.75,1.8499999999999979,0.46000000000000085,0.8333333333333334,,,,,,,,,TargetSelected_empirical_riskfirst_evt_pool_paper_weights,0.10364096017007701,0.37939880451276253,0.005898808463428413,0.15853658536585374
muswellbrook,TargetSelected_empirical_rf_duration_pool_paper_weights,6.114155420200518,15.256828394512198,1.133312037748207,6.833333333333333,,0.5416666666666666,0.18038891304802984,6,C:\Users\13411\MyPython\project\ExtremeScene\results\method_pool_risk_target_selection_expanded_fast\muswellbrook\generated_samples_TargetSelected_empirical_rf_duration_pool_paper_weights.npy,0.5141236009421171,0.09115783890647217,0.048103789658787206,0.6387118699925918,0.34453496819605584,0.21504794493793508,0.44269208092902296,0.2605319982788422,0.05809980522193666,0.5318425172879105,0.2320749351271234,0.10708384660621965,0.1629413223541538,20.75528383030695,0.12531988923481047,5.141924203472229,0.02504063396757699,0.4437113795429468,0.6787274232506748,0.010723860582912224,4.699999999999992,5.0,9.022077856037535,12.87303586035964,0.8722856690486273,0.8939520835876467,0.34757674217224155,2.625,1.8499999999999979,0.46000000000000085,0.875,,,,,,,,,TargetSelected_empirical_rf_duration_pool_paper_weights,0.10364096017007701,0.37939880451276253,0.09800549554832157,0.07317073170731707
muswellbrook,TargetSelected_empirical_rf_duration_pool_core_ramp_guard,6.114155420200518,15.256828394512198,1.133312037748207,6.833333333333333,,0.5416666666666666,0.18038891304802984,6,C:\Users\13411\MyPython\project\ExtremeScene\results\method_pool_risk_target_selection_expanded_fast\muswellbrook\generated_samples_TargetSelected_empirical_rf_duration_pool_core_ramp_guard.npy,0.5141236009421171,0.09115783890647217,0.048103789658787206,0.6387118699925918,0.34453496819605584,0.21504794493793508,0.44269208092902296,0.2605319982788422,0.05809980522193666,0.5318425172879105,0.2320749351271234,0.10708384660621965,0.1629413223541538,20.75528383030695,0.12531988923481047,5.141924203472229,0.02504063396757699,0.4437113795429468,0.6787274232506748,0.010723860582912224,4.699999999999992,5.0,9.022077856037535,12.87303586035964,0.8722856690486273,0.8939520835876467,0.34757674217224155,2.625,1.8499999999999979,0.46000000000000085,0.875,,,,,,,,,TargetSelected_empirical_rf_duration_pool_core_ramp_guard,0.10364096017007701,0.37939880451276253,0.09800549554832157,0.07317073170731707
muswellbrook,TargetSelected_empirical_riskfirst_evt_pool_core_ramp_guard,6.114155420200518,15.256828394512198,1.0896011428655281,7.291666666666667,,0.5416666666666666,0.18571205634829593,8,C:\Users\13411\MyPython\project\ExtremeScene\results\method_pool_risk_target_selection_expanded_fast\muswellbrook\generated_samples_TargetSelected_empirical_riskfirst_evt_pool_core_ramp_guard.npy,0.5050191708185053,0.09516811822045006,0.05160046500026697,0.6005406308815711,0.29181050729024055,0.2014692198044651,0.4141897632300445,0.23075539750176913,0.06204421095773707,0.5065831883100403,0.20591134100415323,0.10503796525415639,0.13890542599271424,21.636298749573047,0.08968739520092038,3.241108437632761,0.02368154589872666,0.4437113795429468,0.6787274232506748,0.013404825728640364,4.699999999999992,5.0,9.236092476572255,12.87303586035964,0.808233454823494,0.8425011634826656,0.28063929557800327,2.7916666666666665,1.8499999999999979,0.46000000000000085,0.875,,,,,,,,,TargetSelected_empirical_riskfirst_evt_pool_core_ramp_guard,0.10364096017007701,0.37939880451276253,0.03881026387133708,0.20731707317073186
muswellbrook,TargetSelected_val_calibrated_rf_duration_pool_global_q99,8.540321789405837,11.458815665189526,1.1608341434718266,7.541666666666667,,0.5416666666666666,0.1897276980267517,9,C:\Users\13411\MyPython\project\ExtremeScene\results\method_pool_risk_target_selection_expanded_fast\muswellbrook\generated_samples_TargetSelected_val_calibrated_rf_duration_pool_global_q99.npy,0.5150086614820693,0.10237301053360458,0.0857425216161246,0.6358011204887322,0.3341936805994635,0.20711278508127975,0.4465272229327402,0.2783195294033356,0.1014461915067401,0.5324456683011806,0.2382954068454679,0.13143383273471482,0.1895419906905346,22.910666556492576,0.13752408992071627,13.469803349548073,0.03343413082795887,0.3875766370445488,1.0999308332800863,0.01876675602009642,0.30000000000000426,1.5399999999999991,8.510019820174692,13.627209995716477,0.9681764791409174,0.9675822019577027,1.4663063764572137,2.75,1.8499999999999979,2.0,0.875,,,,,,,,,TargetSelected_val_calibrated_rf_duration_pool_global_q99,0.14549923359248557,0.2339515646813537,0.13527715125157044,0.2804878048780489
muswellbrook,TargetSelected_empirical_rf_duration_pool_global_q99,6.114155420200518,15.347023007921187,1.1096977081518464,7.208333333333333,,0.5416666666666666,0.18989365217888624,10,C:\Users\13411\MyPython\project\ExtremeScene\results\method_pool_risk_target_selection_expanded_fast\muswellbrook\generated_samples_TargetSelected_empirical_rf_duration_pool_global_q99.npy,0.5204883957350697,0.09662942550354986,0.05662795725962969,0.6431658806072342,0.34361287177770583,0.2141674735296724,0.4434404389060513,0.2694447753625125,0.0767012518333347,0.5356982384161184,0.23656235754792274,0.11583222754087892,0.17117864729125531,21.037524017374604,0.11808207334627675,4.125859530028677,0.019331628897031303,0.4437113795429468,1.1151202341914175,0.013404825728640364,4.699999999999992,5.0,8.87626638324607,13.672462507566696,0.9353541980187098,0.9675822019577027,1.4663063764572137,2.7083333333333335,1.8499999999999979,0.46000000000000085,0.875,,,,,,,,,TargetSelected_empirical_rf_duration_pool_global_q99,0.10364096017007701,0.38285286285930686,0.06602592351930872,0.18292682926829268
