sample_index,selected_method,selected_score,initial_local_score,global_objective
0,targeted_seed45_RiskKNN_Bootstrap_Generator,0.07302511633900863,0.07302511633900863,0.04537274034761739
1,DurationAware_RiskFirst_TCN_Empirical,0.006917651048693707,0.006917651048693707,0.04537274034761739
2,ganfix_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.10431605636346113,0.10431605636346113,0.04537274034761739
3,targeted_seed46_TransformerVAE_Augmented_TailWeighted_Copula,0.12189260878701817,0.12189260878701817,0.04537274034761739
4,ordinary_conditional_tcn,0.10807096592034877,0.10807096592034877,0.04537274034761739
5,ganfix_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.09486715835801365,0.09486715835801365,0.04537274034761739
6,targeted_seed46_Conditional_Transformer_Risk_Generator,0.09499814500898353,0.09499814500898353,0.04537274034761739
7,targeted_seed46_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.12340336692395197,0.12340336692395197,0.04537274034761739
8,DurationAware_RiskFirst_TCN_Empirical,0.44239241485613284,0.44239241485613284,0.04537274034761739
9,DurationAware_RiskFirst_TCN_Empirical,0.09128925512378508,0.09128925512378508,0.04537274034761739
10,targeted_seed47_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.1168156616706379,0.1168156616706379,0.04537274034761739
11,targeted_seed45_Expanded_ValSelected_Model_Ensemble,0.05971473809053514,0.05971473809053514,0.04537274034761739
12,ganfix_Conditional_NormalizingFlow_Risk_Generator,0.18357250548966808,0.18357250548966808,0.04537274034761739
13,ganfix_Conditional_NormalizingFlow_Risk_Generator,0.37209273541878696,0.2554131278413154,0.04537274034761739
14,DurationAware_RiskFirst_TCN_Empirical,0.15189946992330283,0.15189946992330283,0.04537274034761739
15,RiskFirst_TCN_Empirical,0.1489220355820399,0.1489220355820399,0.04537274034761739
16,DurationAware_RiskFirst_TCN_Empirical,0.42134061521394217,0.42134061521394217,0.04537274034761739
17,targeted_seed45_Conditional_Transformer_Risk_Generator,0.7989822736772537,0.7989822736772537,0.04537274034761739
18,targeted_seed45_Conditional_NormalizingFlow_Risk_Generator,0.14221912180726207,0.14221912180726207,0.04537274034761739
19,DurationAware_RiskFirst_TCN_Empirical,0.335581335779194,0.335581335779194,0.04537274034761739
20,targeted_seed46_Conditional_NormalizingFlow_Risk_Generator,0.1692168974480721,0.1692168974480721,0.04537274034761739
21,RiskFirst_TCN_Empirical,0.17277677775894612,0.17277677775894612,0.04537274034761739
22,targeted_seed47_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,1.706351105321858,0.9261245058412727,0.04537274034761739
23,traditional_gaussian_copula,0.08723499016518607,0.08723499016518607,0.04537274034761739
