sample_index,selected_method,selected_score,global_objective
0,extreme_conditioned_gaussian_copula,0.09222046879714384,0.2986154805883915
1,RiskFirst_TCN_Empirical,0.2763805667782502,0.2986154805883915
2,DurationAware_RiskFirst_TCN_Empirical,0.2733739998168412,0.2986154805883915
3,DurationAware_RiskFirst_TCN_Empirical,0.1282273448970996,0.2986154805883915
4,RiskFirst_TCN_Empirical,0.5187720147104271,0.2986154805883915
5,DurationAware_RiskFirst_TCN_Empirical,0.19723405821653311,0.2986154805883915
6,RiskFirst_TCN_Empirical,0.37542457982430694,0.2986154805883915
7,DurationAware_RiskFirst_TCN_Empirical,0.2677848390973401,0.2986154805883915
8,extreme_conditioned_gaussian_copula,1.430532552855739,0.2986154805883915
9,DurationAware_RiskFirst_TCN_Empirical,0.09128925512378508,0.2986154805883915
10,DurationAware_RiskFirst_TCN_Empirical,0.12715834566356846,0.2986154805883915
11,RiskFirst_TCN_Empirical,0.5397836580387555,0.2986154805883915
12,RiskFirst_TCN_Empirical,0.2677916610965105,0.2986154805883915
13,RiskFirst_TCN_Empirical,0.323959007355692,0.2986154805883915
14,DurationAware_RiskFirst_TCN_Empirical,0.15189946992330283,0.2986154805883915
15,RiskFirst_TCN_Empirical,0.1489220355820399,0.2986154805883915
16,DurationAware_RiskFirst_TCN_Empirical,0.42134061521394217,0.2986154805883915
17,DurationAware_RiskFirst_TCN_Empirical,0.9158074104591416,0.2986154805883915
18,DurationAware_RiskFirst_TCN_Empirical,0.6794621952089008,0.2986154805883915
19,DurationAware_RiskFirst_TCN_Empirical,0.335581335779194,0.2986154805883915
20,RiskFirst_TCN_Empirical,0.8921297921793544,0.2986154805883915
21,RiskFirst_TCN_Empirical,0.17277677775894612,0.2986154805883915
22,RiskFirst_TCN_Empirical,1.1855749052927556,0.2986154805883915
23,DurationAware_RiskFirst_TCN_Empirical,0.10470514754297086,0.2986154805883915
