sample_index,selected_method,selected_score,initial_local_score,global_objective
0,extreme_conditioned_gaussian_copula,0.09222046879714384,0.09222046879714384,0.19023748515988836
1,RiskFirst_TCN_Empirical,0.2763805667782502,0.006917651048693707,0.19023748515988836
2,extreme_conditioned_gaussian_copula,0.22404794607771578,0.22404794607771578,0.19023748515988836
3,DurationAware_RiskFirst_TCN_Empirical,0.1282273448970996,0.1282273448970996,0.19023748515988836
4,extreme_conditioned_gaussian_copula,0.39540990147822824,0.39540990147822824,0.19023748515988836
5,DurationAware_RiskFirst_TCN_Empirical,0.19723405821653311,0.19723405821653311,0.19023748515988836
6,DurationAware_RiskFirst_TCN_Empirical,0.1728127510059,0.1728127510059,0.19023748515988836
7,DurationAware_RiskFirst_TCN_Empirical,0.2677848390973401,0.2677848390973401,0.19023748515988836
8,extreme_conditioned_gaussian_copula,1.430532552855739,0.44239241485613284,0.19023748515988836
9,DurationAware_RiskFirst_TCN_Empirical,0.09128925512378508,0.09128925512378508,0.19023748515988836
10,DurationAware_RiskFirst_TCN_Empirical,0.12715834566356846,0.12715834566356846,0.19023748515988836
11,DurationAware_RiskFirst_TCN_Empirical,0.34386354356477855,0.34386354356477855,0.19023748515988836
12,RiskFirst_TCN_Empirical,0.2677916610965105,0.2677916610965105,0.19023748515988836
13,RiskFirst_TCN_Empirical,0.323959007355692,0.26508595988326467,0.19023748515988836
14,DurationAware_RiskFirst_TCN_Empirical,0.15189946992330283,0.15189946992330283,0.19023748515988836
15,RiskFirst_TCN_Empirical,0.1489220355820399,0.1489220355820399,0.19023748515988836
16,DurationAware_RiskFirst_TCN_Empirical,0.42134061521394217,0.42134061521394217,0.19023748515988836
17,DurationAware_RiskFirst_TCN_Empirical,0.9158074104591416,0.9158074104591416,0.19023748515988836
18,DurationAware_RiskFirst_TCN_Empirical,0.6794621952089008,0.6794621952089008,0.19023748515988836
19,DurationAware_RiskFirst_TCN_Empirical,0.335581335779194,0.335581335779194,0.19023748515988836
20,RiskFirst_TCN_Empirical,0.8921297921793544,0.8921297921793544,0.19023748515988836
21,RiskFirst_TCN_Empirical,0.17277677775894612,0.17277677775894612,0.19023748515988836
22,RiskFirst_TCN_Empirical,1.1855749052927556,1.1855749052927556,0.19023748515988836
23,DurationAware_RiskFirst_TCN_Empirical,0.10470514754297086,0.10470514754297086,0.19023748515988836
