sample_index,selected_method,selected_score,target_cum,target_core,target_ramp,target_duration,score_DurationAware_RiskFirst_TCN_Empirical,score_RiskFirst_TCN_Empirical,score_extreme_conditioned_gaussian_copula,score_traditional_gaussian_copula,score_enhanced_gan,score_ordinary_conditional_tcn,score_ganfix_Conditional_NormalizingFlow_Risk_Generator,score_ganfix_Conditional_Transformer_Risk_Generator,score_ganfix_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_ganfix_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_ganfix_TransformerVAE_Augmented_TailWeighted_Copula,score_ganfix_ValSelected_Model_Ensemble,score_ganfix_ValSelected_Model_Ensemble_Margin_0.00,score_ganfix_ValSelected_Model_Ensemble_Margin_0.05,score_ganfix_ValSelected_Model_Ensemble_Margin_0.10
0,extreme_conditioned_gaussian_copula,0.0787281578917215,9.775089263916016,2.410369873046875,3.9756717681884766,8.0,0.16174550141672195,0.1949391978137295,0.0787281578917215,0.36076114546965266,0.1579774322477781,0.17029438066851416,0.19760281083232978,0.27319701179161066,0.2201322695948688,0.2341068304079524,0.23454154025607982,0.27319701179161066,0.27319701179161066,0.27319701179161066,0.27319701179161066
1,DurationAware_RiskFirst_TCN_Empirical,0.006621335738435636,27.163557052612305,12.789454460144043,4.5038957595825195,11.0,0.006621335738435636,0.2860244995297403,0.46550280505525793,0.4016621552940449,0.8434050076188823,0.35946580440091913,0.30349104579505787,0.11282633357751412,0.11476588582484606,0.3954118982697866,0.18950898856358236,0.11282633357751412,0.11282633357751412,0.11282633357751412,0.11282633357751412
2,ganfix_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.09765276999871744,21.93396759033203,8.937949180603027,4.589417934417725,9.5,0.26805662084448056,0.5176065308595231,0.2216700768933128,0.4480815060639814,1.038482530629695,0.29516472707103947,0.6144948607857532,0.1660187438173169,0.09765276999871744,0.2595437941695301,0.1572196321800134,0.1660187438173169,0.1660187438173169,0.1660187438173169,0.1660187438173169
3,DurationAware_RiskFirst_TCN_Empirical,0.11223697224494877,21.93396759033203,8.937949180603027,4.589417934417725,9.5,0.11223697224494877,0.27867044025150545,0.23610355998365817,1.193296312491221,0.9538009620719412,0.288525931749519,0.2247121470245244,0.14150281878321713,0.15969900893333167,0.2669797990988731,0.2548097257307036,0.14150281878321713,0.14150281878321713,0.14150281878321713,0.14150281878321713
4,ordinary_conditional_tcn,0.10394620462387473,21.93396759033203,8.937949180603027,4.589417934417725,9.5,0.41751458626956445,0.5227552681261424,0.431630102851702,0.7097510809144261,0.8477414471276947,0.10394620462387473,0.37296276851640886,0.2878713538918081,0.2739993579002709,0.30122599509730946,0.15429782886899457,0.2878713538918081,0.2878713538918081,0.2878713538918081,0.2878713538918081
5,ganfix_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.09505014608212943,21.93396759033203,8.937949180603027,4.589417934417725,9.5,0.20636966920862163,0.3784900512593307,0.5179288254838105,0.7026279603845468,1.0038391556091117,0.4177655982797052,0.3425411895289836,0.3473358442518753,0.2860969449814911,0.09505014608212943,0.2655396204218968,0.3473358442518753,0.3473358442518753,0.3473358442518753,0.3473358442518753
6,ganfix_Conditional_Transformer_Risk_Generator,0.10132395894607277,21.93396759033203,8.937949180603027,4.589417934417725,9.5,0.16122118216747672,0.37224932884006734,0.701224781092771,0.9835725411135166,1.1711812334526648,0.16926005960585694,0.2453647828154858,0.10132395894607277,0.11234677381949856,0.1915436745220451,0.26298662758805064,0.10132395894607277,0.10132395894607277,0.10132395894607277,0.10132395894607277
7,ganfix_Conditional_Transformer_Risk_Generator,0.20806859545185072,21.93396759033203,8.937949180603027,4.589417934417725,9.5,0.2640806153277573,0.4792758057252246,0.43800460530352847,1.2091633525986496,0.8813086225477673,0.21661392459040468,0.39898148476459777,0.20806859545185072,0.24817193289939238,0.3800761382171571,0.3058692838572381,0.20806859545185072,0.20806859545185072,0.20806859545185072,0.20806859545185072
8,DurationAware_RiskFirst_TCN_Empirical,0.41095093950698064,28.767155170440674,13.343979835510254,4.678141951560974,11.1875,0.41095093950698064,1.0032579111852644,1.4154515575873015,1.3200894972743242,0.6481051679568266,0.6300400681858164,0.7150775535602673,0.8320972523298708,0.7723820070000125,0.8417878607985491,0.8982565404562193,0.8320972523298708,0.8320972523298708,0.8320972523298708,0.8320972523298708
9,DurationAware_RiskFirst_TCN_Empirical,0.0995959578028603,27.163557052612305,12.789454460144043,4.5038957595825195,11.0,0.0995959578028603,0.2747176229940349,0.6672038678503941,1.0454468211403585,0.4488028865897741,0.39973673213818095,0.1437151412326492,0.17647343006828659,0.23971574986644145,0.4643500858695132,0.3922094178269345,0.17647343006828659,0.17647343006828659,0.17647343006828659,0.17647343006828659
