sample_index,selected_method,selected_score,initial_local_score,global_objective
0,DurationAware_RiskFirst_TCN_Empirical,0.1736614722829331,0.1736614722829331,0.2706782407551035
1,DurationAware_RiskFirst_TCN_Empirical,0.006917651048693707,0.006917651048693707,0.2706782407551035
2,DurationAware_RiskFirst_TCN_Empirical,0.2733739998168412,0.2733739998168412,0.2706782407551035
3,DurationAware_RiskFirst_TCN_Empirical,0.1282273448970996,0.1282273448970996,0.2706782407551035
4,DurationAware_RiskFirst_TCN_Empirical,0.4084521309459196,0.4084521309459196,0.2706782407551035
5,DurationAware_RiskFirst_TCN_Empirical,0.19723405821653311,0.19723405821653311,0.2706782407551035
6,DurationAware_RiskFirst_TCN_Empirical,0.1728127510059,0.1728127510059,0.2706782407551035
7,DurationAware_RiskFirst_TCN_Empirical,0.2677848390973401,0.2677848390973401,0.2706782407551035
8,DurationAware_RiskFirst_TCN_Empirical,0.44239241485613284,0.44239241485613284,0.2706782407551035
9,DurationAware_RiskFirst_TCN_Empirical,0.09128925512378508,0.09128925512378508,0.2706782407551035
10,DurationAware_RiskFirst_TCN_Empirical,0.12715834566356846,0.12715834566356846,0.2706782407551035
11,DurationAware_RiskFirst_TCN_Empirical,0.34386354356477855,0.34386354356477855,0.2706782407551035
12,RiskFirst_TCN_Empirical,0.2677916610965105,0.2677916610965105,0.2706782407551035
13,RiskFirst_TCN_Empirical,0.323959007355692,0.26508595988326467,0.2706782407551035
14,DurationAware_RiskFirst_TCN_Empirical,0.15189946992330283,0.15189946992330283,0.2706782407551035
15,RiskFirst_TCN_Empirical,0.1489220355820399,0.1489220355820399,0.2706782407551035
16,DurationAware_RiskFirst_TCN_Empirical,0.42134061521394217,0.42134061521394217,0.2706782407551035
17,DurationAware_RiskFirst_TCN_Empirical,0.9158074104591416,0.9158074104591416,0.2706782407551035
18,DurationAware_RiskFirst_TCN_Empirical,0.6794621952089008,0.6794621952089008,0.2706782407551035
19,DurationAware_RiskFirst_TCN_Empirical,0.335581335779194,0.335581335779194,0.2706782407551035
20,RiskFirst_TCN_Empirical,0.8921297921793544,0.8921297921793544,0.2706782407551035
21,RiskFirst_TCN_Empirical,0.17277677775894612,0.17277677775894612,0.2706782407551035
22,RiskFirst_TCN_Empirical,1.1855749052927556,1.1855749052927556,0.2706782407551035
23,DurationAware_RiskFirst_TCN_Empirical,0.10470514754297086,0.10470514754297086,0.2706782407551035
