sample_index,selected_method,selected_score,initial_local_score,global_objective
0,extreme_conditioned_gaussian_copula,0.09222046879714384,0.09222046879714384,0.05157261861722268
1,DurationAware_RiskFirst_TCN_Empirical,0.006917651048693707,0.006917651048693707,0.05157261861722268
2,ganfix_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.10431605636346113,0.10431605636346113,0.05157261861722268
3,DurationAware_RiskFirst_TCN_Empirical,0.1282273448970996,0.1282273448970996,0.05157261861722268
4,ordinary_conditional_tcn,0.10807096592034877,0.10807096592034877,0.05157261861722268
5,ganfix_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.09486715835801365,0.09486715835801365,0.05157261861722268
6,ganfix_Conditional_Transformer_Risk_Generator,0.10353666765758962,0.10353666765758962,0.05157261861722268
7,ordinary_conditional_tcn,0.1991896075260592,0.1991896075260592,0.05157261861722268
8,DurationAware_RiskFirst_TCN_Empirical,0.44239241485613284,0.44239241485613284,0.05157261861722268
9,DurationAware_RiskFirst_TCN_Empirical,0.09128925512378508,0.09128925512378508,0.05157261861722268
10,DurationAware_RiskFirst_TCN_Empirical,0.12715834566356846,0.12715834566356846,0.05157261861722268
11,ganfix_Conditional_Transformer_Risk_Generator,0.18031197513755792,0.18031197513755792,0.05157261861722268
12,ganfix_Conditional_NormalizingFlow_Risk_Generator,0.18357250548966808,0.18357250548966808,0.05157261861722268
13,ganfix_Conditional_NormalizingFlow_Risk_Generator,0.37209273541878696,0.26508595988326467,0.05157261861722268
14,DurationAware_RiskFirst_TCN_Empirical,0.15189946992330283,0.15189946992330283,0.05157261861722268
15,RiskFirst_TCN_Empirical,0.1489220355820399,0.1489220355820399,0.05157261861722268
16,DurationAware_RiskFirst_TCN_Empirical,0.42134061521394217,0.42134061521394217,0.05157261861722268
17,ganfix_Conditional_NormalizingFlow_Risk_Generator,0.9084462648508989,0.9084462648508989,0.05157261861722268
18,ganfix_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,2.998094484367991,0.6794621952089008,0.05157261861722268
19,DurationAware_RiskFirst_TCN_Empirical,0.335581335779194,0.335581335779194,0.05157261861722268
20,enhanced_gan,0.46137035018544065,0.46137035018544065,0.05157261861722268
21,RiskFirst_TCN_Empirical,0.17277677775894612,0.17277677775894612,0.05157261861722268
22,ganfix_Conditional_NormalizingFlow_Risk_Generator,0.9261245058412727,0.9261245058412727,0.05157261861722268
23,traditional_gaussian_copula,0.08723499016518607,0.08723499016518607,0.05157261861722268
