sample_index,selected_method,selected_score,target_cum,target_core,target_ramp,target_duration,score_DurationAware_RiskFirst_TCN_Empirical,score_RiskFirst_TCN_Empirical
0,DurationAware_RiskFirst_TCN_Empirical,0.1826466474484722,9.775089263916016,2.410369873046875,3.9756717681884766,8.0,0.1826466474484722,0.21936038702102123
1,DurationAware_RiskFirst_TCN_Empirical,0.02228871962879775,27.163557052612305,12.789454460144043,4.5038957595825195,11.0,0.02228871962879775,0.4523351690308166
2,DurationAware_RiskFirst_TCN_Empirical,0.29281880685257444,21.93396759033203,8.937949180603027,4.589417934417725,9.5,0.29281880685257444,0.495868252336121
3,DurationAware_RiskFirst_TCN_Empirical,0.15620703232434424,21.93396759033203,8.937949180603027,4.589417934417725,9.5,0.15620703232434424,0.3349391003828714
4,DurationAware_RiskFirst_TCN_Empirical,0.4501792502341757,21.93396759033203,8.937949180603027,4.589417934417725,9.5,0.4501792502341757,0.5179495142347161
5,DurationAware_RiskFirst_TCN_Empirical,0.19546650562762416,21.93396759033203,8.937949180603027,4.589417934417725,9.5,0.19546650562762416,0.4130778653412003
6,DurationAware_RiskFirst_TCN_Empirical,0.200271665656319,21.93396759033203,8.937949180603027,4.589417934417725,9.5,0.200271665656319,0.4060679647508867
7,DurationAware_RiskFirst_TCN_Empirical,0.2888357432734404,21.93396759033203,8.937949180603027,4.589417934417725,9.5,0.2888357432734404,0.4886561364897587
8,DurationAware_RiskFirst_TCN_Empirical,0.5162406029833178,28.767155170440674,13.343979835510254,4.678141951560974,11.1875,0.5162406029833178,1.3125855671359066
9,DurationAware_RiskFirst_TCN_Empirical,0.09253392685480384,27.163557052612305,12.789454460144043,4.5038957595825195,11.0,0.09253392685480384,0.4443121266934439
10,DurationAware_RiskFirst_TCN_Empirical,0.12216233495387123,27.163557052612305,12.789454460144043,4.5038957595825195,11.0,0.12216233495387123,0.4862619298900629
11,DurationAware_RiskFirst_TCN_Empirical,0.35043545737495696,21.93396759033203,8.937949180603027,4.589417934417725,9.5,0.35043545737495696,0.5697055761589476
12,DurationAware_RiskFirst_TCN_Empirical,0.26721625209604205,27.163557052612305,12.789454460144043,4.5038957595825195,11.0,0.26721625209604205,0.41103101961000915
13,DurationAware_RiskFirst_TCN_Empirical,0.27526104466331897,54.00166702270508,25.422154545783997,7.032369449734688,17.21875,0.27526104466331897,0.3690381979141599
14,DurationAware_RiskFirst_TCN_Empirical,0.2047899070306012,3.018857955932617,0.03520560264587402,2.8809893131256104,4.5,0.2047899070306012,0.20804438615253365
15,DurationAware_RiskFirst_TCN_Empirical,0.1657877598226709,3.018857955932617,0.03520560264587402,2.8809893131256104,4.5,0.1657877598226709,0.17056749512526867
16,DurationAware_RiskFirst_TCN_Empirical,0.47836074491031116,8.403645277023315,0.7977311611175537,3.599659502506256,7.125,0.47836074491031116,0.48434760456474374
17,DurationAware_RiskFirst_TCN_Empirical,0.9202015554582789,16.021092236042012,6.265504667162895,4.953633111715315,15.0,0.9202015554582789,1.0509800217222849
18,DurationAware_RiskFirst_TCN_Empirical,0.6676170494621566,12.364845424890518,3.256978750228882,4.096752405166626,12.0,0.6676170494621566,0.8236294893976341
19,DurationAware_RiskFirst_TCN_Empirical,0.39057799827430906,6.850719726085661,0.40889650583267195,3.3420043110847466,7.0,0.39057799827430906,0.391665643685442
20,DurationAware_RiskFirst_TCN_Empirical,0.8819135974707046,12.37794440984726,3.266519069671631,4.107894992828369,12.0,0.8819135974707046,0.9218041471330872
21,RiskFirst_TCN_Empirical,0.21219942345663792,3.427283030748365,0.07348406910896298,2.952262577414512,5.0,0.2390052111337968,0.21219942345663792
22,RiskFirst_TCN_Empirical,1.1248232842975878,30.849614530801688,10.35706418901681,6.278020361065862,18.0,1.4035858369542111,1.1248232842975878
23,DurationAware_RiskFirst_TCN_Empirical,0.12738807415782613,3.018857955932617,0.03520560264587402,2.8809893131256104,4.5,0.12738807415782613,0.17835037002738938
