sample_index,selected_method,selected_score,target_cum,target_core,target_ramp,target_duration,score_DurationAware_RiskFirst_TCN_Empirical,score_RiskFirst_TCN_Empirical
0,DurationAware_RiskFirst_TCN_Empirical,0.16148357160678753,15.235934946658839,3.1039118731979043,5.801906108856201,8.0,0.16148357160678753,0.1669004210128148
1,DurationAware_RiskFirst_TCN_Empirical,0.15796123890081296,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.15796123890081296,0.44245437201278276
2,DurationAware_RiskFirst_TCN_Empirical,0.18155392802608944,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.18155392802608944,0.3824146449646337
3,DurationAware_RiskFirst_TCN_Empirical,0.24752068777780106,28.905311584472656,9.675899505615234,5.891976594924927,10.0,0.24752068777780106,0.5897531321729264
4,DurationAware_RiskFirst_TCN_Empirical,0.4109283333411126,28.905311584472656,9.675899505615234,5.891976594924927,10.0,0.4109283333411126,0.6222808725247972
5,DurationAware_RiskFirst_TCN_Empirical,0.09954284231881119,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.09954284231881119,0.2385856499523363
6,DurationAware_RiskFirst_TCN_Empirical,0.21028276946849736,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.21028276946849736,0.292375927444416
7,DurationAware_RiskFirst_TCN_Empirical,0.44954110839421024,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.44954110839421024,0.5364505169881452
8,DurationAware_RiskFirst_TCN_Empirical,0.1929354977351779,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.1929354977351779,0.4816157917046767
9,RiskFirst_TCN_Empirical,0.37660125407145517,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.4293973432084762,0.37660125407145517
10,DurationAware_RiskFirst_TCN_Empirical,0.14379449518902923,28.905311584472656,9.675899505615234,5.891976594924927,10.0,0.14379449518902923,0.4516074807712913
11,DurationAware_RiskFirst_TCN_Empirical,0.16627392341500397,28.905311584472656,9.675899505615234,5.891976594924927,10.0,0.16627392341500397,0.5188240043853019
12,DurationAware_RiskFirst_TCN_Empirical,0.4433089477502025,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.4433089477502025,0.8184492325975494
13,DurationAware_RiskFirst_TCN_Empirical,0.3436734441873546,64.83219776014346,25.177123654497805,8.817215418293529,23.0,0.3436734441873546,0.5752942352891646
14,DurationAware_RiskFirst_TCN_Empirical,0.41471181767107446,26.709425926208496,9.197572708129883,5.891976594924927,9.5,0.41471181767107446,0.6397843215527459
15,DurationAware_RiskFirst_TCN_Empirical,0.7378280371063782,7.758240383036815,2.903916877551671,5.786276267392792,7.919708029197082,0.7378280371063782,1.0157444587994569
16,DurationAware_RiskFirst_TCN_Empirical,0.40206888185171125,17.374511245393407,4.553358607048538,6.00249795844085,10.91240875912409,0.40206888185171125,0.4396930017278157
17,DurationAware_RiskFirst_TCN_Empirical,0.29669592625052915,6.863126218754011,1.4653695656435337,5.439724076403318,6.226277372262775,0.29669592625052915,0.6024221978201013
18,RiskFirst_TCN_Empirical,0.2349493808712763,3.4773300477188,0.12430755239333549,4.525928472950511,4.839416058394161,0.2380463366442599,0.2349493808712763
19,RiskFirst_TCN_Empirical,0.5067360690504917,8.50888587088481,3.114512290397701,5.801906108856201,8.0,0.5238205188913476,0.5067360690504917
20,RiskFirst_TCN_Empirical,0.4387957860122934,41.00793618529381,10.207398538171807,7.67779901601972,29.8795620437956,1.921652774145203,0.4387957860122934
