sample_index,selected_method,selected_score,initial_local_score,global_objective
0,RiskFirst_TCN_Empirical,0.13316375464665614,0.13316375464665614,0.12844364155201693
1,traditional_gaussian_copula,0.262203514784585,0.1748645265059561,0.12844364155201693
2,RiskFirst_TCN_Empirical,0.2801578522104219,0.17363211849314636,0.12844364155201693
3,traditional_gaussian_copula,0.7835832524101942,0.091788017250697,0.12844364155201693
4,ganfix_TransformerVAE_Augmented_TailWeighted_Copula,0.10404008361098793,0.10404008361098793,0.12844364155201693
5,RiskFirst_TCN_Empirical,0.15194633119454887,0.08988168364565173,0.12844364155201693
6,DurationAware_RiskFirst_TCN_Empirical,0.19236144746725936,0.19236144746725936,0.12844364155201693
7,RiskFirst_TCN_Empirical,0.3758916611019788,0.2982746494455134,0.12844364155201693
8,RiskFirst_TCN_Empirical,0.3093935336954713,0.2016650711078137,0.12844364155201693
9,RiskFirst_TCN_Empirical,0.2274244204613708,0.2274244204613708,0.12844364155201693
10,DurationAware_RiskFirst_TCN_Empirical,0.13354347811201742,0.13354347811201742,0.12844364155201693
11,ganfix_TransformerVAE_Augmented_TailWeighted_Copula,0.07396918791640474,0.07396918791640474,0.12844364155201693
12,enhanced_gan,0.2988967377441054,0.2988967377441054,0.12844364155201693
13,DurationAware_RiskFirst_TCN_Empirical,0.26372415252299475,0.26372415252299475,0.12844364155201693
14,ganfix_Conditional_Transformer_Risk_Generator,0.14475402647537322,0.14475402647537322,0.12844364155201693
15,ganfix_Conditional_NormalizingFlow_Risk_Generator,0.44785650157374113,0.44785650157374113,0.12844364155201693
16,RiskFirst_TCN_Empirical,0.41432025625001045,0.41432025625001045,0.12844364155201693
17,DurationAware_RiskFirst_TCN_Empirical,0.3287416242816856,0.3287416242816856,0.12844364155201693
18,RiskFirst_TCN_Empirical,0.16830723579582746,0.16830723579582746,0.12844364155201693
19,RiskFirst_TCN_Empirical,0.4556344548906361,0.4556344548906361,0.12844364155201693
20,RiskFirst_TCN_Empirical,0.38726821623512603,0.38726821623512603,0.12844364155201693
