sample_index,selected_method,selected_score,initial_local_score,global_objective
0,RiskFirst_TCN_Empirical,0.13316375464665614,0.13316375464665614,0.1842015467599015
1,DurationAware_RiskFirst_TCN_Empirical,0.1748645265059561,0.1748645265059561,0.1842015467599015
2,RiskFirst_TCN_Empirical,0.2801578522104219,0.17363211849314636,0.1842015467599015
3,DurationAware_RiskFirst_TCN_Empirical,0.25230069432847124,0.25230069432847124,0.1842015467599015
4,DurationAware_RiskFirst_TCN_Empirical,0.39202835768330335,0.39202835768330335,0.1842015467599015
5,DurationAware_RiskFirst_TCN_Empirical,0.08988168364565173,0.08988168364565173,0.1842015467599015
6,DurationAware_RiskFirst_TCN_Empirical,0.19236144746725936,0.19236144746725936,0.1842015467599015
7,RiskFirst_TCN_Empirical,0.3758916611019788,0.3758916611019788,0.1842015467599015
8,RiskFirst_TCN_Empirical,0.3093935336954713,0.2016650711078137,0.1842015467599015
9,RiskFirst_TCN_Empirical,0.2274244204613708,0.2274244204613708,0.1842015467599015
10,DurationAware_RiskFirst_TCN_Empirical,0.13354347811201742,0.13354347811201742,0.1842015467599015
11,DurationAware_RiskFirst_TCN_Empirical,0.15430945696307757,0.15430945696307757,0.1842015467599015
12,RiskFirst_TCN_Empirical,0.6406569868838643,0.38219241865795905,0.1842015467599015
13,DurationAware_RiskFirst_TCN_Empirical,0.26372415252299475,0.26372415252299475,0.1842015467599015
14,DurationAware_RiskFirst_TCN_Empirical,0.39933399416366566,0.39933399416366566,0.1842015467599015
15,DurationAware_RiskFirst_TCN_Empirical,0.7193621378329416,0.7193621378329416,0.1842015467599015
16,RiskFirst_TCN_Empirical,0.41432025625001045,0.41432025625001045,0.1842015467599015
17,DurationAware_RiskFirst_TCN_Empirical,0.3287416242816856,0.3287416242816856,0.1842015467599015
18,RiskFirst_TCN_Empirical,0.16830723579582746,0.16830723579582746,0.1842015467599015
19,RiskFirst_TCN_Empirical,0.4556344548906361,0.4556344548906361,0.1842015467599015
20,DurationAware_RiskFirst_TCN_Empirical,1.9363769833380076,0.38726821623512603,0.1842015467599015
