sample_index,selected_method,selected_score,target_cum,target_core,target_ramp,target_duration,score_DurationAware_RiskFirst_TCN_Empirical,score_RiskFirst_TCN_Empirical
0,RiskFirst_TCN_Empirical,0.14372727284657943,15.235934946658839,3.1039118731979043,5.801906108856201,8.0,0.19417547026274534,0.14372727284657943
1,DurationAware_RiskFirst_TCN_Empirical,0.17943805872444002,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.17943805872444002,0.25666184953422233
2,DurationAware_RiskFirst_TCN_Empirical,0.14881777180739073,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.14881777180739073,0.28651975193479695
3,DurationAware_RiskFirst_TCN_Empirical,0.2694796926917186,28.905311584472656,9.675899505615234,5.891976594924927,10.0,0.2694796926917186,0.5476482023548765
4,DurationAware_RiskFirst_TCN_Empirical,0.4357519594284379,28.905311584472656,9.675899505615234,5.891976594924927,10.0,0.4357519594284379,0.5965695476476426
5,DurationAware_RiskFirst_TCN_Empirical,0.0760292407759566,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.0760292407759566,0.14740033345467232
6,DurationAware_RiskFirst_TCN_Empirical,0.2130883809950782,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.2130883809950782,0.2521800586897901
7,RiskFirst_TCN_Empirical,0.3808736392607738,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.39564260455225003,0.3808736392607738
8,DurationAware_RiskFirst_TCN_Empirical,0.19624034227062878,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.19624034227062878,0.3115041518846452
9,RiskFirst_TCN_Empirical,0.24221426910541521,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.46104284854706135,0.24221426910541521
10,DurationAware_RiskFirst_TCN_Empirical,0.16001101122062023,28.905311584472656,9.675899505615234,5.891976594924927,10.0,0.16001101122062023,0.4393570474307346
11,DurationAware_RiskFirst_TCN_Empirical,0.16706354124025063,28.905311584472656,9.675899505615234,5.891976594924927,10.0,0.16706354124025063,0.49647415784536175
12,DurationAware_RiskFirst_TCN_Empirical,0.40063098129234725,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.40063098129234725,0.6462522816499594
13,DurationAware_RiskFirst_TCN_Empirical,0.2622333820027416,64.83219776014346,25.177123654497805,8.817215418293529,23.0,0.2622333820027416,0.5210857968418457
14,DurationAware_RiskFirst_TCN_Empirical,0.42629030292723324,26.709425926208496,9.197572708129883,5.891976594924927,9.5,0.42629030292723324,0.5742203561984496
15,DurationAware_RiskFirst_TCN_Empirical,0.7111469655766811,7.758240383036815,2.903916877551671,5.786276267392792,7.919708029197082,0.7111469655766811,0.9663675740946706
16,DurationAware_RiskFirst_TCN_Empirical,0.43250517433845637,17.374511245393407,4.553358607048538,6.00249795844085,10.91240875912409,0.43250517433845637,0.4357816774414467
17,DurationAware_RiskFirst_TCN_Empirical,0.327840126181234,6.863126218754011,1.4653695656435337,5.439724076403318,6.226277372262775,0.327840126181234,0.5971167285820453
18,RiskFirst_TCN_Empirical,0.18280514501655143,3.4773300477188,0.12430755239333549,4.525928472950511,4.839416058394161,0.24086552154546148,0.18280514501655143
19,RiskFirst_TCN_Empirical,0.4093057969865366,8.50888587088481,3.114512290397701,5.801906108856201,8.0,0.5855409158923992,0.4093057969865366
20,RiskFirst_TCN_Empirical,0.3451453075853608,41.00793618529381,10.207398538171807,7.67779901601972,29.8795620437956,1.8731564401500354,0.3451453075853608
