sample_index,selected_method,selected_score,target_cum,target_core,target_ramp,target_duration,score_DurationAware_RiskFirst_TCN_Empirical,score_RiskFirst_TCN_Empirical,score_extreme_conditioned_gaussian_copula,score_traditional_gaussian_copula,score_enhanced_gan,score_ordinary_conditional_tcn,score_ganfix_Conditional_NormalizingFlow_Risk_Generator,score_ganfix_Conditional_Transformer_Risk_Generator,score_ganfix_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_ganfix_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_ganfix_TransformerVAE_Augmented_TailWeighted_Copula,score_ganfix_ValSelected_Model_Ensemble,score_ganfix_ValSelected_Model_Ensemble_Margin_0.00,score_ganfix_ValSelected_Model_Ensemble_Margin_0.05,score_ganfix_ValSelected_Model_Ensemble_Margin_0.10
0,RiskFirst_TCN_Empirical,0.13316375464665614,15.235934946658839,3.1039118731979043,5.801906108856201,8.0,0.1579131894562532,0.13316375464665614,0.7138528008256712,0.5679018803853393,0.46737488940323846,0.2961483044890434,0.1867712780222457,0.25014898270931624,0.3312589016692236,0.15074495154067452,0.1675975570216217,0.25014898270931624,0.25014898270931624,0.25014898270931624,0.15074495154067452
1,DurationAware_RiskFirst_TCN_Empirical,0.1748645265059561,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.1748645265059561,0.26231666242172225,0.604068593104826,0.262203514784585,0.49715877327390223,0.833371002028839,0.41025063551171803,0.32493501139704534,0.39190198683525457,0.43451999221405224,0.7910410691334279,0.32493501139704534,0.32493501139704534,0.32493501139704534,0.43451999221405224
2,DurationAware_RiskFirst_TCN_Empirical,0.17363211849314636,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.17363211849314636,0.2801578522104219,0.7812209798666918,1.235514835326311,0.25162469220348416,0.5393249869673451,0.4586324710654345,0.4486445350264612,0.35470965480002487,0.6274421198435328,0.45240579186295216,0.4486445350264612,0.4486445350264612,0.4486445350264612,0.6274421198435328
3,ganfix_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.091788017250697,28.905311584472656,9.675899505615234,5.891976594924927,10.0,0.25230069432847124,0.4974114056808132,0.5705165949694055,0.7835832524101942,0.6099730032350461,0.4325722186671302,0.4118097113334046,0.2493297682011755,0.14907867612096634,0.091788017250697,0.0996910266462239,0.2493297682011755,0.2493297682011755,0.2493297682011755,0.091788017250697
4,ganfix_TransformerVAE_Augmented_TailWeighted_Copula,0.10404008361098793,28.905311584472656,9.675899505615234,5.891976594924927,10.0,0.39202835768330335,0.5616072948145556,0.7888665323076359,0.8161775055759493,0.748326990912192,0.37594374283132415,0.5194261432651606,0.19112561231304248,0.11097215958618911,0.1240681588014588,0.10404008361098793,0.19112561231304248,0.19112561231304248,0.19112561231304248,0.1240681588014588
5,DurationAware_RiskFirst_TCN_Empirical,0.08988168364565173,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.08988168364565173,0.15194633119454887,1.378571935198569,1.0931047179240423,0.7057248095792051,0.15890187876894377,0.4210218084441317,0.23051779393572688,0.2521374324563549,0.28720129295689156,0.6558273012240756,0.23051779393572688,0.23051779393572688,0.23051779393572688,0.28720129295689156
6,DurationAware_RiskFirst_TCN_Empirical,0.19236144746725936,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.19236144746725936,0.268540617391541,0.6397686972526626,1.096090401571839,0.7474456721230984,0.2596643065520725,0.421808519936224,0.35969483893708476,0.3071748830383616,0.4097494231836122,0.25864017170689024,0.35969483893708476,0.35969483893708476,0.35969483893708476,0.4097494231836122
7,extreme_conditioned_gaussian_copula,0.2982746494455134,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.37708941403908386,0.3758916611019788,0.2982746494455134,1.310451270409295,0.7450584763051019,0.8728265215831774,0.7335730799830216,0.9115526704181558,0.7656558995763634,0.8212972704701992,0.909482456420554,0.9115526704181558,0.9115526704181558,0.9115526704181558,0.8212972704701992
8,DurationAware_RiskFirst_TCN_Empirical,0.2016650711078137,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.2016650711078137,0.3093935336954713,0.6707235415261693,1.0946675619804989,0.3998136186881468,0.7238966145202359,0.47171909558939884,0.4372243007088582,0.5870120625186888,0.46859753347977384,0.3716269616422117,0.4372243007088582,0.4372243007088582,0.4372243007088582,0.46859753347977384
9,RiskFirst_TCN_Empirical,0.2274244204613708,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.48877458750362957,0.2274244204613708,0.6973046775468688,0.5073351771235564,0.6585517598958038,0.5286783763277185,0.2995367843208837,0.4699186186742591,0.5323811324751041,0.80733492789328,0.3566921489118178,0.4699186186742591,0.4699186186742591,0.4699186186742591,0.80733492789328
