sample_index,selected_method,selected_score,target_cum,target_core,target_ramp,target_duration,score_DurationAware_RiskFirst_TCN_Empirical,score_RiskFirst_TCN_Empirical,score_extreme_conditioned_gaussian_copula,score_traditional_gaussian_copula,score_enhanced_gan,score_ordinary_conditional_tcn,score_targeted_seed45_Conditional_NormalizingFlow_Risk_Generator,score_targeted_seed45_Conditional_TCN_Risk_Generator,score_targeted_seed45_Conditional_Transformer_Risk_Generator,score_targeted_seed45_Expanded_ValSelected_Model_Ensemble,score_targeted_seed45_Expanded_ValSelected_Model_Ensemble_Margin_0.05,score_targeted_seed45_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_targeted_seed45_RiskKNN_Bootstrap_Generator,score_targeted_seed45_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_targeted_seed45_TransformerVAE_Augmented_TailWeighted_Copula,score_targeted_seed46_Conditional_NormalizingFlow_Risk_Generator,score_targeted_seed46_Conditional_TCN_Risk_Generator,score_targeted_seed46_Conditional_Transformer_Risk_Generator,score_targeted_seed46_Expanded_ValSelected_Model_Ensemble,score_targeted_seed46_Expanded_ValSelected_Model_Ensemble_Margin_0.05,score_targeted_seed46_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_targeted_seed46_RiskKNN_Bootstrap_Generator,score_targeted_seed46_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_targeted_seed46_TransformerVAE_Augmented_TailWeighted_Copula,score_targeted_seed47_Conditional_NormalizingFlow_Risk_Generator,score_targeted_seed47_Conditional_TCN_Risk_Generator,score_targeted_seed47_Conditional_Transformer_Risk_Generator,score_targeted_seed47_Expanded_ValSelected_Model_Ensemble,score_targeted_seed47_Expanded_ValSelected_Model_Ensemble_Margin_0.05,score_targeted_seed47_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_targeted_seed47_RiskKNN_Bootstrap_Generator,score_targeted_seed47_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_targeted_seed47_TransformerVAE_Augmented_TailWeighted_Copula
0,targeted_seed47_Expanded_ValSelected_Model_Ensemble,0.15538355706568205,15.235934946658839,3.1039118731979043,5.801906108856201,8.0,0.16148357160678753,0.1669004210128148,0.6912003127885346,0.5577712019038032,0.39908688506764495,0.27171652766438276,0.25522648922232877,0.15713630488837455,0.16170683745943726,0.3346942610868193,0.3346942610868193,0.3346942610868193,0.27642980033690434,0.31217236104804014,0.19842871516897348,0.2095500122208529,0.22475066973183458,0.24395118361198662,0.24395118361198662,0.24395118361198662,0.3346942610868193,0.18576605084547626,0.18864244890940512,0.16282512317293782,0.16757686664323232,0.42029847567801726,0.18810754051402728,0.15538355706568205,0.15538355706568205,0.3346942610868193,0.15538355706568205,0.23290145249483954,0.2564963477806023
1,DurationAware_RiskFirst_TCN_Empirical,0.15796123890081296,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.15796123890081296,0.44245437201278276,0.661491205305765,0.2555274017503588,0.6748190281460661,0.9561534443828746,0.440649583113392,0.9644726326518596,0.2660241401264223,0.3368501144620822,0.3368501144620822,0.3368501144620822,0.5269014529700472,0.352798263499063,0.6368694388391541,0.7073166991895652,0.6717714400599869,0.5503014002969291,0.5503014002969291,0.5503014002969291,0.3368501144620822,0.5719397278728305,0.6075567848100861,0.47081297974955805,0.3779189308249677,0.30620511036434217,0.5548041151166869,0.5194449116965661,0.5194449116965661,0.3368501144620822,0.5194449116965661,0.2610977132763106,0.4127559383178008
2,targeted_seed46_Conditional_NormalizingFlow_Risk_Generator,0.17882875768958356,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.18155392802608944,0.3824146449646337,0.9134083016523309,1.3961180759951437,0.2334459687449132,0.5977626334682282,0.6683401775942982,0.41286323951951637,0.6101909781249052,0.34396479354083526,0.34396479354083526,0.34396479354083526,0.5801109322823722,0.5339450720670225,0.4511002736847587,0.17882875768958356,0.817228462985497,0.5683500955563086,0.5683500955563086,0.5683500955563086,0.34396479354083526,0.5687397670841773,0.6149476189959179,0.3139024401715354,0.5212353004924636,0.17943168335514503,0.6598692246086562,0.45774615587235934,0.45774615587235934,0.34396479354083526,0.45774615587235934,0.573014545379057,0.23189676627261327
3,targeted_seed46_RiskKNN_Bootstrap_Generator,0.07255023183151557,28.905311584472656,9.675899505615234,5.891976594924927,10.0,0.24752068777780106,0.5897531321729264,0.5014553954848118,0.7347861614606255,0.5349564589351818,0.4506758281352719,0.47855299028693576,0.21573183540475777,0.0996388484755221,0.15545524197780594,0.15545524197780594,0.15545524197780594,0.09784363061962303,0.22971482726438164,0.1511539722270302,0.3779537277209948,0.26494454326086947,0.2637925363636949,0.2637925363636949,0.2637925363636949,0.15545524197780594,0.07255023183151557,0.22835822594553665,0.20045655228786025,0.7269993443946305,0.2769944325915841,0.15136251394445574,0.0812097794065523,0.0812097794065523,0.15545524197780594,0.0812097794065523,0.12672910211166577,0.2161394326040229
4,targeted_seed45_RiskKNN_Bootstrap_Generator,0.02356313471176092,28.905311584472656,9.675899505615234,5.891976594924927,10.0,0.4109283333411126,0.6222808725247972,0.652814557183886,0.6674866354221207,0.8555561591509624,0.36261598597779837,0.22015162929128437,0.20957946367121463,0.19493642886727422,0.10558554948321514,0.10558554948321514,0.10558554948321514,0.02356313471176092,0.14396266733418014,0.3843668713770856,0.3591925361336972,0.30497086638494986,0.3642045761254907,0.3642045761254907,0.3642045761254907,0.10558554948321514,0.042667499570802625,0.18351964956202602,0.28378089676681983,0.5819719756754005,0.3084555873102172,0.20638964758957243,0.05818763084329049,0.05818763084329049,0.10558554948321514,0.05818763084329049,0.22994289994634504,0.1057859310361617
5,DurationAware_RiskFirst_TCN_Empirical,0.09954284231881119,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.09954284231881119,0.2385856499523363,1.5105637558929499,1.2047267528966903,0.6829077322556516,0.19341513839861546,0.2809927621175892,0.4332867638064688,0.15522720481876862,0.29624152266369647,0.29624152266369647,0.29624152266369647,0.29892470971402396,0.44261707230262504,0.43488338701642043,0.39592208352266156,0.4467926335399283,0.5148186861293125,0.5148186861293125,0.5148186861293125,0.29624152266369647,0.33487839237463507,0.15057088978308059,0.6378537785521148,0.4051073431646561,0.2131774311769914,0.19852874305599671,0.32565684343589724,0.32565684343589724,0.29624152266369647,0.32565684343589724,0.3177490563225763,0.3137203435286103
6,targeted_seed46_Conditional_TCN_Risk_Generator,0.13705795788958067,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.21028276946849736,0.292375927444416,0.5986252464211067,1.284578528991566,0.819115443543216,0.24090450956570297,0.5200777607609535,0.2743074411327019,0.5936357446340537,0.3059582098712683,0.3059582098712683,0.3059582098712683,0.22977022823935978,0.24578362526057856,0.3142630428601481,0.20777509053269974,0.13705795788958067,0.28784106792648256,0.28784106792648256,0.28784106792648256,0.3059582098712683,0.24937171715484713,0.1562819800909,0.39848561709671976,0.5630042207849656,0.46131184181930707,0.3786932264555388,0.22862809045904392,0.22862809045904392,0.3059582098712683,0.22862809045904392,0.3156371602228928,0.5149195334397683
7,extreme_conditioned_gaussian_copula,0.2842952634751503,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.44954110839421024,0.5364505169881452,0.2842952634751503,1.3788477784042725,0.8454838929132396,0.7420631724220133,0.901418071817266,0.6171190553086819,1.3381168109564305,0.6902489009053636,0.6902489009053636,0.6902489009053636,0.7909860090605522,0.8837036568218826,0.6314064070795212,0.7988752766724805,1.0968370166879566,0.7371365070805116,0.7371365070805116,0.7371365070805116,0.6902489009053636,0.8747905651729605,0.7480047682121806,1.0042291285836813,1.0142237101113716,0.7498116468896422,0.6590234252825431,0.8640459884573275,0.8640459884573275,0.6902489009053636,0.8640459884573275,0.7949392739231941,0.6999747714482936
8,DurationAware_RiskFirst_TCN_Empirical,0.1929354977351779,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.1929354977351779,0.4816157917046767,0.5624456337923589,1.2181300636978543,0.3647121042721696,0.6323090934590445,0.6145055186793527,0.4271791989019594,0.4604141128629673,0.5603509320128406,0.5603509320128406,0.5603509320128406,0.6483634832305273,0.44639391889434066,0.24088500488377962,0.4399398851349453,0.6809313313020152,0.576576692136938,0.576576692136938,0.576576692136938,0.5603509320128406,0.4652460980243177,0.5501579292715171,0.28300584134745904,0.3506447544733473,0.30338543614871444,0.6407654559495585,0.5776160041007486,0.5776160041007486,0.5603509320128406,0.5776160041007486,0.3278059632406369,0.2727985088770079
9,targeted_seed47_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.25324984862020705,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.4293973432084762,0.37660125407145517,0.8597884876142721,0.4442576400204865,0.7952548192796087,0.447482056133236,0.5390329975347296,0.37428373495124395,0.608990968165284,0.5551908930214376,0.5551908930214376,0.5551908930214376,1.0519939837293537,0.48885440978472655,0.37419585940390243,0.49495837201908277,0.8797161069210258,0.9493691053741519,0.9493691053741519,0.9493691053741519,0.5551908930214376,0.646081977633656,0.3918548142802903,0.6404761094125312,0.4233188549992092,0.5003524878202846,0.3564504999205955,0.4270000897441666,0.4270000897441666,0.5551908930214376,0.4270000897441666,0.25324984862020705,0.2745137044215552
