sample_id,scenario_id,scenario_seed,event_type,event_type_code,month,season,season_code,low_wind_flag,low_irradiance_flag,duration_hours,core_n_steps,core_start_offset,core_end_offset,extreme_prob,tail_score,tail_score_zscore,severity_level,cum_deficit,netload_ramp_max,imbalance_duration,imbalance_tau,imbalance_tau_mode,delta_t_hours
S0001,,,寒潮,0,2,winter,3,0,1,8.0,8,15,22,0.6130434782608696,0.4893194185450271,-0.50740368457301,0,1809.5000000000036,2899.4166666666715,2.0,21859.458333333332,monthly_quantile,1.0
S0002,,,寒潮,0,2,winter,3,0,1,19.0,19,9,27,0.48695652173913045,0.7195804376281008,-0.27799355298029654,0,3134.458333333321,5413.916666666662,3.0,21859.458333333332,monthly_quantile,1.0
S0004,,,寒潮,0,12,winter,3,0,0,8.0,8,14,21,0.3521739130434783,1.0436301542507564,0.044858697170496085,0,6696.187500000011,2210.0833333333358,5.0,23635.479166666664,monthly_quantile,1.0
S0005,,,高温,3,6,summer,1,1,0,7.0,7,15,21,0.024931876635260728,3.6916081080960366,2.6830515326980993,3,52781.79166666664,2476.3333333333285,7.0,22475.541666666668,monthly_quantile,1.0
S0006,,,高温,3,7,summer,1,0,0,5.0,5,16,20,0.7739130434782608,0.25629575863111026,-0.7395662481625542,0,236.18749999999272,1901.7500000000073,1.0,26017.312499999996,monthly_quantile,1.0
S0007,,,高温,3,7,summer,1,0,0,5.0,5,16,20,0.6391304347826087,0.4476467221444591,-0.5489223871443226,0,1477.270833333343,2359.6666666666642,1.0,26017.312499999996,monthly_quantile,1.0
S0008,,,高温,3,7,summer,1,0,0,5.0,5,16,20,0.6782608695652174,0.38822330167365837,-0.6081262192309741,0,1180.6875000000036,2868.1666666666642,1.0,26017.312499999996,monthly_quantile,1.0
S0010,,,高温,3,7,summer,1,0,0,5.0,5,16,20,0.7869565217391304,0.2395822776573696,-0.756217967523593,0,80.35416666667516,1788.1666666666642,1.0,26017.312499999996,monthly_quantile,1.0
S0012,,,高温,3,7,summer,1,0,1,5.0,5,16,20,0.1565217391304348,1.8545603704670852,0.8527922690599591,2,18051.833333333332,3411.5833333333394,4.0,26017.312499999996,monthly_quantile,1.0
S0013,,,高温,3,7,summer,1,0,0,5.0,5,16,20,0.23478260869565218,1.449095262358921,0.4488254831152278,1,12225.104166666675,2056.4166666666715,5.0,26017.312499999996,monthly_quantile,1.0
