method,mean_risk_score,mean_risk_rank,wins_count,top3_count,available_dataset_count,avg_q99_cum_deficit_error,avg_core_q99_cum_deficit_error,avg_netload_ramp_max_mae,avg_imbalance_duration_mae,avg_extreme_degree_match_rate
ganfix_ValSelected_Model_Ensemble_Margin_0.00,0.4252961244283309,62.333333333333336,0,0,3,39.99680939289971,12.277417964879414,1.873676594563321,7.315035273368607,0.25595238095238093
ganfix_ValSelected_Model_Ensemble_Margin_0.05,0.4252961244283309,62.333333333333336,0,0,3,39.99680939289971,12.277417964879414,1.873676594563321,7.315035273368607,0.25595238095238093
targeted_seed46_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.4289552491785713,64.66666666666667,0,0,3,32.80214595483934,10.484148895393005,2.154930721756678,7.977072310405643,0.38227513227513227
TargetSelected_val_calibrated_all_method_pool_q99_guard,0.4330647064893025,69.0,0,0,3,35.4437740749263,11.042818411267929,1.8703117391590511,7.830026455026456,0.3011463844797178
ganfix_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.4354610063083049,63.666666666666664,0,0,3,29.8490856098207,13.454534298449154,1.981985656753734,7.894400352733686,0.31547619047619047
targeted_seed45_TransformerVAE_Augmented_TailWeighted_Copula,0.43800460588401435,64.0,0,0,3,32.060195179241724,15.339392037165377,2.0597523462761425,7.93452380952381,0.30511463844797176
TargetSelected_val_calibrated_ganfix_model_pool_q99_guard,0.4380692622697979,65.66666666666667,0,0,3,37.664266125263055,10.123365162151323,1.9395603332809699,7.675705467372134,0.3205467372134039
TargetSelected_val_calibrated_ganfix_model_pool_paper_weights,0.44080044693081755,63.666666666666664,0,0,3,41.93086707355754,10.761198263233725,1.8960171889595756,7.586640211640212,0.33443562610229277
targeted_seed47_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.446963649347116,64.66666666666667,0,0,3,45.22265958009268,13.802767169751109,2.0140785442139504,7.3809523809523805,0.37147266313932975
TargetSelected_val_calibrated_all_method_pool_core_ramp_guard,0.4475832474103365,70.0,0,0,3,41.21676562932238,13.613208641161542,1.946243680271308,7.55731922398589,0.3205467372134039
TargetSelected_val_calibrated_ganfix_model_pool_duration_guard,0.4499787246048814,69.0,0,0,3,41.48332638877495,10.761198263233725,1.865481251132265,7.919973544973544,0.302689594356261
targeted_seed45_Conditional_NormalizingFlow_Risk_Generator,0.4511493332150993,76.33333333333333,0,0,3,21.682788971271325,18.09223232276908,1.8691801191477506,7.006393298059964,0.4096119929453263
targeted_seed47_Expanded_ValSelected_Model_Ensemble,0.4526226273608593,62.0,0,0,3,40.68568286375398,17.63653041119174,1.8767968516418942,7.7519841269841265,0.30202821869488533
targeted_seed47_Expanded_ValSelected_Model_Ensemble_Margin_0.05,0.4526226273608593,62.0,0,0,3,40.68568286375398,17.63653041119174,1.8767968516418942,7.7519841269841265,0.30202821869488533
targeted_seed47_Conditional_TCN_Risk_Generator,0.4545156037600934,67.66666666666667,0,0,3,45.923573451247684,10.984476790336918,2.039063174407459,7.497354497354498,0.26344797178130513
