method,status,path
DurationAware_RiskFirst_TCN_Empirical,loaded,C:\Users\13411\MyPython\project\ExtremeScene\results\duration_aware_riskfirst\formal\muswellbrook\generated_samples_DurationAware_RiskFirst_TCN_Empirical.npy
RiskFirst_TCN_Empirical,loaded,C:\Users\13411\MyPython\project\ExtremeScene\results\duration_aware_riskfirst\formal\muswellbrook\generated_samples_RiskFirst_TCN_Empirical.npy
extreme_conditioned_gaussian_copula,loaded,C:\Users\13411\MyPython\project\ExtremeScene\results\evt_copula\muswellbrook\generated_samples_evt_copula.npy
valprotected_x_base_copula,loaded,C:\Users\13411\MyPython\project\ExtremeScene\results\copula_guided_residual_diffusion_valprotected\muswellbrook\x_base_copula.npy
valprotected_copula_guided_residual,loaded,C:\Users\13411\MyPython\project\ExtremeScene\results\copula_guided_residual_diffusion_valprotected\muswellbrook\generated_samples_copula_guided_valprotected.npy
valprotected_copula_guided_residual_conservative,loaded,C:\Users\13411\MyPython\project\ExtremeScene\results\copula_guided_residual_diffusion_valprotected\muswellbrook\generated_samples_copula_guided_valprotected_conservative.npy
